nom_original,noms_unifie
Alsemberg,Alsemberg
ALVERINGEM,alwwrnzhm
ALVERINGEM,Alveringhem
ALVERINGEM,Oalveringem
ALVERINGEM,Алверингем
ALVERINGEM,阿尔弗灵厄姆
ALVERINGEM,ALVERINGEM
ALVERINGEM,a er fu ling e mu
ALVERINGEM,Alveringem
ALVERINGEM,الوورنژم
ALVERINGEM,Al'veringem
ALVERINGEM,Альверінґем
AMAY,Аме
AMAY,a mai
AMAY,Ama
AMAY,Ame
AMAY,AMAY
AMAY,阿迈
AMAY,Amay
AMAY,amh
AMAY,امه
Amberloup,Amberloup
Amberloup,Sainte-Ode (Amberloup)
Ambly,Ambly
Ambresin,Wasseiges (Ambresin)
Ambresin,Ambresin
AMEL,Ambleve
AMEL,L'Ambleve
AMEL,Amel
AMEL,L’Amblève
AMEL,AMEL
AMEL,Amblève
Amonines,Amonines
Amougies,Amougies
Ampsin,Amay (Ampsin)
Ampsin,Ampsin
ANDENNE,Анден
ANDENNE,Andenn
ANDENNE,ang dai ne
ANDENNE,Anden
ANDENNE,آندن
ANDENNE,andn
ANDENNE,ANDENNE
ANDENNE,Andenne
ANDENNE,Andene
ANDENNE,Анденн
ANDENNE,昂代讷
ANDERLECHT,Anderlech
ANDERLECHT,xandexr lekht
ANDERLECHT,Anderlacum
ANDERLECHT,Brussel (Anderlecht)
ANDERLECHT,アンデルレヒト
ANDERLECHT,ANDERLECHT
ANDERLECHT,Anderleht
ANDERLECHT,Андерлехт
ANDERLECHT,Bruxelles (Anderlecht)
ANDERLECHT,anderurehito
ANDERLECHT,Anderlek
ANDERLECHT,andeoleheuteu
ANDERLECHT,Anderlecht
ANDERLECHT,آندرلخت
ANDERLECHT,andrlsht
ANDERLECHT,安德莱赫特
ANDERLECHT,อันเดอร์เลคต์
ANDERLECHT,Anderlekht
ANDERLECHT,andrlkht
ANDERLECHT,안더레흐트
ANDERLECHT,an de lai he te
ANDERLECHT,آندرلشت
ANDERLUES,Anderlues
ANDERLUES,Anderlju
ANDERLUES,Андерлю
ANDERLUES,ANDERLUES
ANDERLUES,andrlw
ANDERLUES,آندرلو
Andrimont,Andrimont
Angleur,Angleur
Angleur,Liege (Angleur)
Angleur,Liège (Angleur)
Angre,Angre
Angreau,Angreau
ANHÉE,ang nei
ANHÉE,Ане
ANHÉE,Anhee sur Meuse
ANHÉE,昂内
ANHÉE,ANHÉE
ANHÉE,Anhée
ANHÉE,Anhêye
ANHÉE,Ane
ANHÉE,anh
ANHÉE,Anhee
ANHÉE,Anhée sur Meuse
ANHÉE,Anheye
ANHÉE,انه
Anlier,Anlier
Anlier,Anglier
Anloy,Anloy
Annevoie-Rouillon,Annevoie-Rouillon
Annevoie-Rouillon,Anhee (Annevoie-Rouillon)
Annevoie-Rouillon,Anhée (Annevoie-Rouillon)
ANS,Anse
ANS,昂斯
ANS,ansu
ANS,آن
ANS,アンス
ANS,ANS
ANS,Ans
ANS,Анс
ANS,an
ANS,ang si
Anseremme,Dinant (Anseremme)
Anseremme,Anseremme
Anserœul,Anserœul
Anserœul,Anseroeul
Anthée,Anthée
Anthée,Onhaye (Anthée)
Anthée,Onhaye (Anthee)
Anthée,Anthee
Antheit,Wanze (Antheit)
Antheit,Antheit
ANTHISNES,ang di en
ANTHISNES,昂蒂恩
ANTHISNES,Антин
ANTHISNES,Antin
ANTHISNES,antyzn
ANTHISNES,Anthisnes
ANTHISNES,Antene
ANTHISNES,آنتیزن
ANTHISNES,ANTHISNES
ANTHISNES,Aubel
ANTOING,ANTOING
ANTOING,Antoing
ANTOING,Antoan
ANTOING,آنتئان
ANTOING,antyan
ANTOING,Антоан
ANTWERPEN,Antwerp Seng
ANTWERPEN,Antwarp
ANTWERPEN,Gorad Antverpen
ANTWERPEN,amtavarpa
ANTWERPEN,Antuerpia
ANTWERPEN,အန့်တွပ်မြို့
ANTWERPEN,Anvérse
ANTWERPEN,アントワープ
ANTWERPEN,אנטווערפן
ANTWERPEN,أنتويرب
ANTWERPEN,Antwerp
ANTWERPEN,Antverpia
ANTWERPEN,अँटवर्प
ANTWERPEN,antverp
ANTWERPEN,Amberis
ANTWERPEN,Kota Antwerpen
ANTWERPEN,安特衛普省
ANTWERPEN,Antwerpa
ANTWERPEN,安特卫普
ANTWERPEN,an te wei pu sheng
ANTWERPEN,Antverpenas
ANTWERPEN,astan antwrp
ANTWERPEN,صوبہ انٹیورپ
ANTWERPEN,antfyrb
ANTWERPEN,antowapu
ANTWERPEN,Antwerpn
ANTWERPEN,Правінцыя Антверпен
ANTWERPEN,안트베르펜 주
ANTWERPEN,Province dAnvers
ANTWERPEN,Antwyrpijo
ANTWERPEN,Antwerpe
ANTWERPEN,Антверпен
ANTWERPEN,Antverpy
ANTWERPEN,Amversa
ANTWERPEN,ANTWERPEN
ANTWERPEN,Antuérpia
ANTWERPEN,ஆண்ட்வெர்ப்
ANTWERPEN,Провинција Антверпен
ANTWERPEN,Antuairp
ANTWERPEN,Provincija Antverpen
ANTWERPEN,Antwerpia
ANTWERPEN,ანტვერპენი
ANTWERPEN,antwrp
ANTWERPEN,안트베르펜
ANTWERPEN,antwrb
ANTWERPEN,اینٹورپ
ANTWERPEN,Antwerpeni provints
ANTWERPEN,Provincie Antwerpen
ANTWERPEN,an te wei pu
ANTWERPEN,antwyrb
ANTWERPEN,Αμβέρσα
ANTWERPEN,Antvärrpe
ANTWERPEN,ആന്റ്‌വെർപ്
ANTWERPEN,Antwerp Séng
ANTWERPEN,アントウェルペン州
ANTWERPEN,Горад Антверпен
ANTWERPEN,Provenz Antwerpen
ANTWERPEN,Antverpen
ANTWERPEN,Antwérp
ANTWERPEN,Provënz Antwerpen
ANTWERPEN,Provincia di Anversa
ANTWERPEN,Provinz Antwerpen
ANTWERPEN,انتورب
ANTWERPEN,antou~erupen
ANTWERPEN,Antuerpen
ANTWERPEN,Província dAnvers
ANTWERPEN,انٹیورپ
ANTWERPEN,anteubeleupen
ANTWERPEN,Antverpeno provincija
ANTWERPEN,Ôn-thi̍t-ví-phú
ANTWERPEN,Antwerpen-hérað
ANTWERPEN,Antwerpenin provinssi
ANTWERPEN,Անտվերպեն
ANTWERPEN,Wilayah Antwerpen
ANTWERPEN,أنتفيرب
ANTWERPEN,Amberes
ANTWERPEN,On-thit-vi-phu
ANTWERPEN,มณฑลแอนต์เวิร์ป
ANTWERPEN,ანტვერპენის პროვინცია
ANTWERPEN,安特衞普
ANTWERPEN,Provincia de Antuerpen
ANTWERPEN,Anberesko probintzia
ANTWERPEN,antou~erupen zhou
ANTWERPEN,ANR
ANTWERPEN,استان آنتورپ
ANTWERPEN,آنتورپ
ANTWERPEN,Antverpenes province
ANTWERPEN,Anvers
ANTWERPEN,Anverse
ANTWERPEN,אנטוורפן
ANTWERPEN,แอนต์เวิร์ป
ANTWERPEN,Antvaerrpe
ANTWERPEN,Prowincja Antwerpia
ANTWERPEN,Província dAnvèrs
ANTWERPEN,Anversa
ANTWERPEN,Antverpene
ANTWERPEN,Antwerpium
ANTWERPEN,Provincia de Amberes
ANTWERPEN,انتويرب
ANTWERPEN,Antwerpen-herad
ANTWERPEN,Pravincyja Antverpen
ANTWERPEN,Anberes
ANTWERPEN,アントウェルペン
ANTWERPEN,Provincia dAnvers
ANTWERPEN,Anvèrs
ANTWERPEN,Antwerpen
ANTWERPEN,anteubeleupen ju
ANTWERPEN,Antverpeno
ANTWERPEN,Antverpens
Anvaing,Anvaing
ANZEGEM,安泽海姆
ANZEGEM,ANZEGEM
ANZEGEM,anzwzhm
ANZEGEM,an ze hai mu
ANZEGEM,Анзегем
ANZEGEM,Анзеґем
ANZEGEM,Anzegem
ANZEGEM,Anzehem
ANZEGEM,Anseghem
ANZEGEM,آنزوژم
ANZEGEM,Anzegemi vald
Appels,Appels
Appelterre-Eichem,Appelterre-Eichem
Appelterre-Eichem,Appelterre-Eychem
Arbre,Arbre
Arbre,Profondeville (Arbre)
Arbre,Arbre
Arbre,Profondeville (Arbre)
Arbrefontaine,Arbrefontaine
Arc-Ainières,Arc-Ainières
Arc-Ainières,Arc-Ainieres
Archennes,Eerken
Archennes,Grez-Doiceau (Archennes)
Archennes,Archennes
Arc-Wattripont,Wattripont
Arc-Wattripont,Arc-Wattripont
ARDOOIE,اردوئوآ
ARDOOIE,阿尔多耶
ARDOOIE,ardwywa
ARDOOIE,Ardôoie
ARDOOIE,Ardua
ARDOOIE,Ardoje
ARDOOIE,Ardoye
ARDOOIE,a er duo ye
ARDOOIE,ARDOOIE
ARDOOIE,Ардойе
ARDOOIE,Ardooie
ARDOOIE,Ардуа
ARENDONK,Arendonck
ARENDONK,Arendonk
ARENDONK,ARENDONK
Argenteau,Visé (Argenteau)
Argenteau,Argenteau
Argenteau,Vise (Argenteau)
ARLON,ארלון
ARLON,아를롱
ARLON,阿爾隆
ARLON,آرلون
ARLON,Arloni vald
ARLON,Arlon
ARLON,Årlon
ARLON,Aarlen
ARLON,Αρλόν
ARLON,arln
ARLON,ARLON
ARLON,Arlona
ARLON,Gorad Arlon
ARLON,Orolaunum
ARLON,aleullong
ARLON,Горад Арлон
ARLON,Արլոն
ARLON,Arel
ARLON,Aarle
ARLON,aruron
ARLON,Arlonas
ARLON,آرلن
ARLON,QON
ARLON,Арлон
ARLON,アルロン
ARLON,a er long
ARLON,arlwn
Arquennes,Arquennes
Arsimont,Sambreville (Arsimont)
Arsimont,Arsimont
Arville,Arville
AS,อัส
AS,Ас
AS,As
AS,阿斯
AS,AS
AS,Asch
AS,a si
AS,az
AS,xas
AS,از
Aspelare,Aspelaere
Aspelare,Aspelare
Asper,Asper
Asquillies,Asquilies
Asquillies,Asquillies
ASSE,아서
ASSE,Ассо
ASSE,Assche
ASSE,Асе
ASSE,Ассе
ASSE,اس
ASSE,Asso
ASSE,aseo
ASSE,Ase
ASSE,as
ASSE,阿瑟
ASSE,ASSE
ASSE,Asse
ASSE,a se
Assebroek,Assebroeke
Assebroek,Assebroek
Assebroek,Assebrouck
ASSENEDE,Ассенеде
ASSENEDE,阿塞内德
ASSENEDE,Assenede
ASSENEDE,asnwd
ASSENEDE,ASSENEDE
ASSENEDE,Асенеде
ASSENEDE,a sai nei de
ASSENEDE,Assenee
ASSENEDE,اسنود
ASSENEDE,Asenede
Assenois,Assenois
Assent,Caggevinne-Assent
Assent,Assent
ASSESSE,ass
ASSESSE,اسس
ASSESSE,Асес
ASSESSE,Assesse
ASSESSE,a sai si
ASSESSE,ASSESSE
ASSESSE,Ases
ASSESSE,阿塞斯
Astene,Astene
ATH,d'Ath
ATH,Ath
ATH,Aat
ATH,ATH
ATH,Aat
Athis,Athis
Athus,Athus
Athus,Attem
Attenhoven,Attenhoven
Attenrode,Attenrode
Attenrode,Attenrode-Wever
ATTERT,Atterti vald
ATTERT,a tai er
ATTERT,阿泰尔
ATTERT,Атер
ATTERT,Attert
ATTERT,ATTERT
ATTERT,اتر
ATTERT,Atert
ATTERT,atr
ATTERT,Ater
Attre,Attre
AUBANGE,Abindje
AUBANGE,Eibeng
AUBANGE,奥邦日
AUBANGE,ao bang ri
AUBANGE,Aubange
AUBANGE,awbanzh
AUBANGE,AUBANGE
AUBANGE,Обанж
AUBANGE,اوبانژ
AUBANGE,Åbindje
AUBANGE,Obanzh
AUBANGE,Éibeng
Aubechies,Aubechies
AUBEL,ang di en
AUBEL,昂蒂恩
AUBEL,Антин
AUBEL,Antin
AUBEL,antyzn
AUBEL,AUBEL
AUBEL,Anthisnes
AUBEL,Antene
AUBEL,آنتیزن
AUBEL,Aubel
Aublain,Aublain
Auby-sur-Semois,Auby
Auby-sur-Semois,Auby-sur-Semois
AUDERGHEM,Bruxelles (Auderghem)
AUDERGHEM,オーデルゲム
AUDERGHEM,Auderghem/Oudergem
AUDERGHEM,awdrgm
AUDERGHEM,Brussel (Oudergem)
AUDERGHEM,AUDERGHEM
AUDERGHEM,odeleugem
AUDERGHEM,Anderghen
AUDERGHEM,Auderghem-Oudergem
AUDERGHEM,ao de er he mu
AUDERGHEM,Auderghem
AUDERGHEM,Аудергем
AUDERGHEM,اودرگم
AUDERGHEM,奥德尔赫姆
AUDERGHEM,Одергем
AUDERGHEM,Odergem
AUDERGHEM,oderugemu
AUDERGHEM,Oudergem
AUDERGHEM,Audergem
AUDERGHEM,오데르겜
AUDERGHEM,Auderghem - Oudergem
Audregnies,Audregnies
Aulnois,Aulnois
Oosterweel,Oosterweel
Oosterweel,Austruweel
Autelbas,Kohlerbach
Autelbas,Arlon (Autelbas)
Autelbas,Autelbas
Autelbas,Kohler
Autelbas,Kolerbaach
Autre-Église,Ramillies (Autre-Église)
Autre-Église,Ramillies (Autre-Eglise)
Autre-Église,Autre-Église
Autre-Église,Autre-Eglise
Autreppe,Autreppe
Auvelais,Auvelais
Auvelais,Sambreville (Auvelais)
Ave-et-Auffe,Ave-et-Auffe
Ave-et-Auffe,Rochefort (Ave-et-Auffe)
Avekapelle,Avekapelle
Avekapelle,Avecappelle
AVELGEM,Avelgem
AVELGEM,Avelghem
AVELGEM,Avelgemi vald
AVELGEM,Άβελχεμ
AVELGEM,a fu er hai mu
AVELGEM,Avelchem
AVELGEM,awlzhm
AVELGEM,Oavelgem
AVELGEM,اولژم
AVELGEM,阿弗尔海姆
AVELGEM,AVELGEM
AVELGEM,Авелгем
AVELGEM,Aovelhem
Avennes,Avennes
Averbode,Scherpenheuvel-Zichem (Averbode)
Averbode,Averbode
Avernas-le-Bauduin,Avernas-le-Bauduin
Avin,Avin
Avin,Hannut (Avin)
AWANS,a wang
AWANS,اوان
AWANS,Аван
AWANS,Auans
AWANS,阿旺
AWANS,Awans
AWANS,Awan
AWANS,AWANS
AWANS,Avan
AWANS,awan
AWANS,Ауанс
AWANS,Αβάν
Awenne,Awenne
Awirs,Awirs
Aye,Aye
Ayeneux,Soumagne (Ayeneux)
Ayeneux,Ayeneux
AYWAILLE,Ehvaj
AYWAILLE,Aiweye
AYWAILLE,Aywaille
AYWAILLE,ایوای
AYWAILLE,Aiwêye
AYWAILLE,ewayu
AYWAILLE,Евай
AYWAILLE,에와유
AYWAILLE,艾瓦耶
AYWAILLE,ayway
AYWAILLE,Эвай
AYWAILLE,Evaj
AYWAILLE,AYWAILLE
AYWAILLE,ai wa ye
Baaigem,Baaigem
Baaigem,Baeygem
Baal,Baal
Baal,Bael
Baardegem,Baerdeghem
Baardegem,Baardegem
Baardegem,Baerdegem
BAARLE-HERTOG,Baerle-Duc
BAARLE-HERTOG,بئرلرتوگ
BAARLE-HERTOG,barure=herutofu
BAARLE-HERTOG,Baarle-Nassau
BAARLE-HERTOG,バールレ＝ヘルトフ
BAARLE-HERTOG,Baarle-Chertonk
BAARLE-HERTOG,Barle Khertog
BAARLE-HERTOG,Barle-Khertog
BAARLE-HERTOG,Барле-Хертог
BAARLE-HERTOG,ba er lei-he er tuo he
BAARLE-HERTOG,byrlrtwg
BAARLE-HERTOG,Μπάαρλε-Χέρτογκ
BAARLE-HERTOG,巴尔勒－赫尔托赫
BAARLE-HERTOG,Baarle-Hertog
BAARLE-HERTOG,baleulleoheleutoheu
BAARLE-HERTOG,바를러헤르토흐
BAARLE-HERTOG,Barle-Gertog
BAARLE-HERTOG,Барле-Гертог
BAARLE-HERTOG,Барле Хертог
BAARLE-HERTOG,BAARLE-HERTOG
Baasrode,Baasrode
Baasrode,Baesrode
Bachte-Maria-Leerne,Bachte-Maria-Leerne
BAELEN,Bailou
BAELEN,Бален
BAELEN,bywlan
BAELEN,بئولان
BAELEN,ba lun
BAELEN,Baelen
BAELEN,Balen
BAELEN,巴伦
BAELEN,BAELEN
Bagimont,Vresse-sur-Semois (Bagimont)
Bagimont,Bagimont
Baileux,Baileux
Bailièvre,Chimay (Bailièvre)
Bailièvre,Chimay (Bailievre)
Bailièvre,Bailièvre
Bailièvre,Bailievre
Baillamont,Baillamont
Bailleul,Bailleul
Baillonville,Baillonville
Baisieux,Baisieux
Baisy-Thy,Genappe (Baisy-Thy)
Baisy-Thy,Baisy-Thy
Balâtre,Balâtre
Balâtre,Balatre
Balâtre,Jemeppe-sur-Sambre (Balatre)
Balâtre,Jemeppe-sur-Sambre (Balâtre)
Balegem,Baelegem
Balegem,Balegem
BALEN,Bailou
BALEN,Бален
BALEN,bywlan
BALEN,بئولان
BALEN,ba lun
BALEN,BALEN
BALEN,Baelen
BALEN,Balen
BALEN,巴伦
Bambrugge,Bambrugge
Bande,Bande
Barbençon,Barbencon
Barbençon,Barbençon
Barbençon,Beaumont (Barbencon)
Barbençon,Beaumont (Barbençon)
Barchon,Barchon
Barchon,Blegny (Barchon)
Barchon,Blégny (Barchon)
Baronville,Baronville
Barry,Barry
Barvaux (-sur-Ourthe),Barvaux
Barvaux (-sur-Ourthe),Barvaux (-sur-Ourthe)
Barvaux (-sur-Ourthe),Barvaux-sur-Ourthe
Barvaux-Condroz,Barvaux-Condroz
Barvaux-Condroz,Havelange (Barvaux-Condroz)
Basècles,Basècles
Basècles,Basecles
Bas-Oha,Wanze (Bas-Oha)
Bas-Oha,Bas-Oha
Basse-Bodeux,Trois-Ponts (Basse-Bodeux )
Basse-Bodeux,Basse-Bodeux
BASSENGE,bsanzh
BASSENGE,Басанж
BASSENGE,BASSENGE
BASSENGE,Bassange
BASSENGE,Bassanzh
BASSENGE,巴桑日
BASSENGE,بسانژ
BASSENGE,Бассанж
BASSENGE,Basanzh
BASSENGE,Bassenge
BASSENGE,Bitsingen
BASSENGE,ba sang ri
Bassevelde,Bassevelde
Bassilly,Bassilly
Bassilly,Zullik
BASTOGNE,Bastenaken
BASTOGNE,Bastogne
BASTOGNE,Bastogne
BASTOGNE,BASTOGNE
BASTOGNE,Bastenaken
Bas-Warneton,Neer-Waasten
Bas-Warneton,Bas-Warneton
Batsheers,Heers (Batsheers)
Batsheers,Batsheers
Batsheers,Basheers
Battice,Herve (Battice)
Battice,Battice
Battignies,Battignies
Baudour,Baudour
Bauffe,Bauffe
Baugnies,Baugnies
Baulers,Baulers
Baulers,Nivelles (Baulers)
Bavegem,Bavegem
Bavegem,Baevegem
Bavikhove,Bavikhove
Bavikhove,Bavichove
Bazel,Basel
Bazel,Bazel
Beaufays,Beaufays
BEAUMONT,Bamon
BEAUMONT,Beaumont
BEAUMONT,bmant
BEAUMONT,Бомон
BEAUMONT,博蒙
BEAUMONT,bo meng
BEAUMONT,Biomont
BEAUMONT,BEAUMONT
BEAUMONT,Bomon
BEAUMONT,Бамон
BEAUMONT,Biômont
BEAUMONT,بمانت
BEAURAING,Борен
BEAURAING,bo lan
BEAURAING,BEAURAING
BEAURAING,Biarin
BEAURAING,Boren
BEAURAING,برن
BEAURAING,博兰
BEAURAING,Beauraing
BEAURAING,brn
Beausaint,Beausaint
BEAUVECHAIN,Bôvètché
BEAUVECHAIN,bo fu shang
BEAUVECHAIN,bwwshn
BEAUVECHAIN,Bovetche
BEAUVECHAIN,Бовшен
BEAUVECHAIN,بووشن
BEAUVECHAIN,Bôvetchén
BEAUVECHAIN,Bevekom
BEAUVECHAIN,BEAUVECHAIN
BEAUVECHAIN,Bovetchen
BEAUVECHAIN,Beauvechain
BEAUVECHAIN,Boveshen
BEAUVECHAIN,博弗尚
BEAUVECHAIN,Bovshen
BEAUVECHAIN,Бовешен
Beauvoorde,Beauvoorde
Beauwelz,Momignies (Beauwelz)
Beauwelz,Beauwelz
Béclers,Beclers
Béclers,Béclers
Beek,Beek
Beerlegem,Beerlegem
Beerlegem,Beirlegem
BEERNEM,Bernem
BEERNEM,بیرنم
BEERNEM,Бернем
BEERNEM,bei er ne mu
BEERNEM,贝尔讷姆
BEERNEM,byrnm
BEERNEM,BEERNEM
BEERNEM,Beirnem
BEERNEM,Bèèrnem
BEERNEM,Beernem
BEERSE,Beersse
BEERSE,Beerse
BEERSE,BEERSE
BEERSEL,bei er sai er
BEERSEL,بئرسل
BEERSEL,Beersel
BEERSEL,BEERSEL
BEERSEL,Берсел
BEERSEL,贝尔塞尔
BEERSEL,byrsl
BEERSEL,Bersel
Beerst,Beerst
Beert,Pepingen (Beert)
Beert,Beert
Beert,Brages
Beervelde,Beervelde
Beervelde,Beirvelde
Beerzel,Beerzel
Beerzel,Beersel
Beez,Namur (Beez)
Beez,Beez
Beffe,Beffe
BEGIJNENDIJK,Beggynendyck
BEGIJNENDIJK,BEGIJNENDIJK
BEGIJNENDIJK,Begijnendijk
Beho,Beho
Beigem,Beigem
Beigem,Beyghem
Bekegem,Bekegem
Bekegem,Bekeghem
Bekkerzeel,Bekkerzeel
Bekkerzeel,Asse (Bekkerzeel)
Bekkerzeel,Beckerzeel
BEKKEVOORT,Bekkevoort
BEKKEVOORT,BEKKEVOORT
BEKKEVOORT,Becquevoort
Belgrade,Namur (Belgrade)
Belgrade,Belgrade
Bellaire,Bellaire
Bellecourt,Bellecourt
Bellefontaine,Bievre (Bellefontaine)
Bellefontaine,Bellefontaine
Bellefontaine,Tintigny (Bellefontaine)
Bellefontaine,Bièvre (Bellefontaine)
Bellefontaine,Bievre (Bellefontaine)
Bellefontaine,Bellefontaine
Bellefontaine,Tintigny (Bellefontaine)
Bellefontaine,Bièvre (Bellefontaine)
Bellegem,Belleghem
Bellegem,Bellegem
Bellem,Bellem
Bellevaux,Bellevaux
Bellevaux-Ligneuville,Bellevaux
Bellevaux-Ligneuville,Bellevaux-Ligneuville
Bellingen,Bellinghen
Bellingen,Bellingen
Bellingen,Pepingen (Bellingen)
BELŒIL,Beloeil
BELŒIL,Belœil
BELŒIL,BELŒIL
Belsele,Belsele
Belsele,Belcele
Ben-Ahin,Huy (Ben-Ahin)
Ben-Ahin,Ben-Ahin
Bende,Bende
Berbroek,Berbroek
Berchem (Antwerpen),Antwerpen (Berchem)
Berchem (Antwerpen),Berchem
Berchem (Antwerpen),Berchem (Antwerpen)
Berchem (Oost-Vlaanderen),Berchem (Oost-Vlaanderen)
Berchem (Oost-Vlaanderen),Antwerpen (Berchem)
Berchem (Oost-Vlaanderen),Berchem
BERCHEM-SAINTE-AGATHE,Sint Agata - Berkhem
BERCHEM-SAINTE-AGATHE,贝尔克姆-圣阿加特
BERCHEM-SAINTE-AGATHE,Berchem-Sainte-Agathe/Sint-Agatha-Berchem
BERCHEM-SAINTE-AGATHE,Bruxelles (Berchem-Sainte-Agathe)
BERCHEM-SAINTE-AGATHE,Sint-Agatha-Berchem
BERCHEM-SAINTE-AGATHE,Berchem-Sainte-Agathe
BERCHEM-SAINTE-AGATHE,سینت-آگاتا-برخم
BERCHEM-SAINTE-AGATHE,shinto=agata=berushemu
BERCHEM-SAINTE-AGATHE,Brussel (Sint-Agatha-Berchem)
BERCHEM-SAINTE-AGATHE,BERCHEM-SAINTE-AGATHE
BERCHEM-SAINTE-AGATHE,bei er ke mu-sheng a jia te
BERCHEM-SAINTE-AGATHE,Синт Агата - Берхем
BERCHEM-SAINTE-AGATHE,Berchem-Sainte-Agathe - Sint-Agatha-Berchem
BERCHEM-SAINTE-AGATHE,Berkem-Sent-Agat
BERCHEM-SAINTE-AGATHE,synt-agata-brkhm
BERCHEM-SAINTE-AGATHE,Беркем-Сент-Агат
BERCHEM-SAINTE-AGATHE,シント＝アガタ＝ベルシェム
Berendrecht,Berendrecht-Zandvliet-Lillo
Berendrecht,Beirendrecht
Berendrecht,Antwerpen (Berendrecht)
Berendrecht,Berendrecht
Berg,Zwartenberg
Berg,Op de Berg
Berg,Tongeren (Berg)
Berg,Berg
Berg,Den Berg
Berg,Kampenhout (Berg)
Berg,Zwartenberg
Berg,Op de Berg
Berg,Tongeren (Berg)
Berg,Berg
Berg,Den Berg
Berg,Kampenhout (Berg)
Bergilers,Oreye (Bergilers)
