unique_id_match,Column,unique_id_query,visit_id,wikipedia_link_nl,google_book_query,nom_complet,toponymName,fclName,commune,province,region,country,query_normalised,queries_ngrams,MATCH,equality_match_extract_geonames,types_Anne,equality_anne_ettore,nom_complet?,nom_complet_ailleurs?,types_Ettore,queries,extract_lieux_be,extract_persons,extract_family
1218-675792-gambon,22,1218-675792,675792,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""gambon""~5","https://www.googleapis.com/books/v1/volumes?q=""gambon""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,gambon,1.0,gambon,,per,True,False,,per,gambon,,,Gambon
1220-675792-lemaitre,23,1220-675792,675792,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""lemaitre""~5","https://www.googleapis.com/books/v1/volumes?q=""lemaitre""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,lemaitre,1.0,lemaitre,,per,True,False,,per,lemaitre,,,Lemaitre
1359-679543-botaine,24,1359-679543,679543,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""botaine""~5","https://www.googleapis.com/books/v1/volumes?q=""botaine""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,botaine,1.0,botaine,,ambig,True,,,ambig,botaine,,,
1550-684323-atwerpen,25,1550-684323,684323,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""atwerpen""~5","https://www.googleapis.com/books/v1/volumes?q=""atwerpen""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Antwerpen,Commune,Antwerpen,Antwerpen,Flanders,Belgium,atwerpen,1.0,atwerpen,,loc,True,,,loc,atwerpen,,,
1595-686387-gysegem,26,1595-686387,686387,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""gysegem""~5","https://www.googleapis.com/books/v1/volumes?q=""gysegem""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,gysegem,1.0,gysegem,,per,True,False,,per,gysegem,gysegem,,
1641-687149-marville,27,1641-687149,687149,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""marville""~5","https://www.googleapis.com/books/v1/volumes?q=""marville""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,France,marville,1.0,marville,,per,True,False,,per,marville,,,Marville
1771-690549-pelzer,28,1771-690549,690549,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""pelzer""~5","https://www.googleapis.com/books/v1/volumes?q=""pelzer""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,pelzer,1.0,pelzer,,per_loc,True,False,,per_loc,pelzer,,,Pelzer
1841-692698-jeanne romain,29,1841-692698,692698,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""albert dassy jeanne romain""~5","https://www.googleapis.com/books/v1/volumes?q=""jeanne+romain+albert+dassy""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",True,,,,,,,jeanne romain albert dassy,4.0,jeanne romain,,per,True,True,,per,jeanne romain albert dassy,,Jeanne Romain Albert Dassy,
1841-692698-albert dassy,30,1841-692698,692698,,,True,,,,,,,jeanne romain albert dassy,4.0,albert dassy,,per,True,True,,per,jeanne romain albert dassy,,Jeanne Romain Albert Dassy,
1869-693264-delovere,31,1869-693264,693264,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""delovere""~5","https://www.googleapis.com/books/v1/volumes?q=""delovere""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,delovere,1.0,delovere,,per,True,False,,per,delovere,,,Delovere
,32,1877-693668,693668,,,,,,,,,,gazlicht kerk,2.0,,,,,,,,gazlicht kerk,,,Kerk
1993-697725-cordelois,33,1993-697725,697725,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""cordelois""~5","https://www.googleapis.com/books/v1/volumes?q=""cordelois""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,cordelois,1.0,cordelois,,per,False,False,,ambig,cordelois,,,Cordelois
,34,2005-697861,697861,,,,,,,,,,yom-kipour,1.0,,,,,,,,yom-kipour,,,
2047-698434-cornil station,35,2047-698434,698434,,,,,POI,,,,Belgium,cornil station maison charleroi,4.0,cornil station,False,loc,True,False,false,loc,cornil station maison charleroi,charleroi,Cornil Station,Cornil Station Maison
2047-698434-charleroi,36,2047-698434,698434,,,,,Commune,,,,Belgium,cornil station maison charleroi,4.0,charleroi,True,loc,True,False,false,loc,cornil station maison charleroi,charleroi,Cornil Station,Cornil Station Maison
2116-701067-libot,37,2116-701067,701067,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""libot""~5","https://www.googleapis.com/books/v1/volumes?q=""libot""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,libot,1.0,libot,,per,True,False,,per,libot,,,Libot
2194-702815-isidoor,38,2194-702815,702815,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""isidoor""~5","https://www.googleapis.com/books/v1/volumes?q=""isidoor""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,isidoor,1.0,isidoor,,per,True,False,,per,isidoor,,,Isidoor
2362-708006-peltier,39,2362-708006,708006,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""peltier""~5","https://www.googleapis.com/books/v1/volumes?q=""peltier""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,peltier,1.0,peltier,,per,True,False,,per,peltier,,,Peltier
2372-708451-van glabbeek,40,2372-708451,708451,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""glabbeek van""~5","https://www.googleapis.com/books/v1/volumes?q=""van+glabbeek""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",True,,,,,,,van glabbeek,2.0,van glabbeek,,per,True,False,false,per,van glabbeek,glabbeek,,Van Glabbeek
2375-708628-dexter,41,2375-708628,708628,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""dexter""~5","https://www.googleapis.com/books/v1/volumes?q=""dexter""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,dexter,1.0,dexter,,per,True,False,,per,dexter,,,Dexter
2546-714246-thonon xavier,42,2546-714246,714246,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""thonon xavier""~5","https://www.googleapis.com/books/v1/volumes?q=""thonon+xavier""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",True,,,,,,,thonon xavier,2.0,thonon xavier,,per,True,True,,per,thonon xavier,,Xavier Thonon,Thonon Xavier
2794-722945-charles lamquet,43,2794-722945,722945,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""charles jambes lamquet""~5","https://www.googleapis.com/books/v1/volumes?q=""charles+lamquet+jambes""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",True,,,,,,,charles lamquet jambes,3.0,charles lamquet,,per,True,True,,per,charles lamquet jambes,jambes,Charles Lamquet,
2794-722945-jambes,44,2794-722945,722945,,,,,Section,,,,Belgium,charles lamquet jambes,3.0,jambes,True,loc,True,,,loc,charles lamquet jambes,jambes,Charles Lamquet,
2832-725615-curer bell,45,2832-725615,725615,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""bell curer""~5","https://www.googleapis.com/books/v1/volumes?q=""curer+bell""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",True,,,,,,,curer bell,2.0,curer bell,,per,True,True,,per,curer bell,,Bell Curer,Bell
,46,2910-728614,728614,,,,,,,,,,komiks,1.0,,,,,,,,komiks,,,
,47,3011-732733,732733,,,,,,,,,,olympiade,1.0,,,,,,,,olympiade,,,
3099-735376-havré,48,3099-735376,735376,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""abandonnes havre""~5","https://www.googleapis.com/books/v1/volumes?q=""havr%C3%A9+abandonn%C3%A9s""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Havré,Section,Mons,Hainaut Province,Wallonia,Belgium,havré abandonnés,2.0,havré,True,loc,True,,,loc,havré abandonnés,havre,,
,49,3224-739491,739491,,,,,,,,,,garde maritime,2.0,,,,,,,,garde maritime,,,Garde
,50,3258-740088,740088,,,False,,,,,,,brossel,1.0,,,per,True,False,,per,brossel,,,Brossel
3260-740248-liezele,51,3260-740248,740248,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""liezele""~5","https://www.googleapis.com/books/v1/volumes?q=""liezele""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Liezele,Section,Puurs,Antwerpen,Flanders,Belgium,liezele,1.0,liezele,True,loc,True,,,loc,liezele,liezele,,
3388-746195-dhuy,52,3388-746195,746195,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""dhuy""~5","https://www.googleapis.com/books/v1/volumes?q=""dhuy""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,Section,,,,Belgium,dhuy,1.0,dhuy,True,loc,True,,,loc,dhuy,dhuy,,
3540-752815-sohie,53,3540-752815,752815,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""sohie""~5","https://www.googleapis.com/books/v1/volumes?q=""sohie""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,sohie,1.0,sohie,,per,True,False,,per,sohie,,,Sohie
3541-752964-sweron,54,3541-752964,752964,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""sweron""~5","https://www.googleapis.com/books/v1/volumes?q=""sweron""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,sweron,1.0,sweron,,per,True,False,,per,sweron,,,Sweron
3848-769048-werbrouck,55,3848-769048,769048,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""diamant werbrouck""~5","https://www.googleapis.com/books/v1/volumes?q=""diamant+werbrouck""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,diamant werbrouck,2.0,werbrouck,,per,True,False,,per,diamant werbrouck,,Diamant Werbrouck,
,56,3874-769793,769793,,,,,,,,,,batima,1.0,,,,,,,,batima,,,
,57,3958-772163,772163,,,,,,,,,,la maitresse d,3.0,,,,,,,,la maitresse d,,,D
4020-774704-jalhay,58,4020-774704,774704,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""jalhay""~5","https://www.googleapis.com/books/v1/volumes?q=""jalhay""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Jalhay,Commune,Jalhay,Liège Province,Wallonia,Belgium,jalhay,1.0,jalhay,True,loc,True,,,loc,jalhay,jalhay,,
4031-775116-louis nieter,59,4031-775116,775116,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""louis nieter""~5","https://www.googleapis.com/books/v1/volumes?q=""louis+nieter""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",True,,,,,,,louis nieter,2.0,louis nieter,,per,True,True,,per,louis nieter,,Louis Nieter,
4136-781498-herzele,60,4136-781498,781498,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""duiven herzele""~5","https://www.googleapis.com/books/v1/volumes?q=""herzele+duiven""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Herzele,Commune,Herzele,East Flanders Province,Flanders,Belgium,herzele duiven,2.0,herzele,True,loc,True,,,loc,herzele duiven,herzele,,Duiven
4136-781498-duiven,61,4136-781498,781498,,,,,,,,,Netherlands,herzele duiven,2.0,duiven,,loc,True,,,loc,herzele duiven,herzele,,Duiven
4188-783164-paternotre,62,4188-783164,783164,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""a paternotre""~5","https://www.googleapis.com/books/v1/volumes?q=""a.+paternotre""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,a. paternotre,2.0,paternotre,,per,True,False,,per,a. paternotre,,,Paternotre
4249-784034-azem,63,4249-784034,784034,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""azem""~5","https://www.googleapis.com/books/v1/volumes?q=""azem""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,azem,1.0,azem,,per_loc,True,False,,per_loc,azem,,,Azem
,64,4257-784214,784214,,,,,,,,,,pillage,1.0,,,,,,,,pillage,,,
4342-787499-ronveaux léon,65,4342-787499,787499,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""leon ronveaux""~5","https://www.googleapis.com/books/v1/volumes?q=""ronveaux+l%C3%A9on""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",True,,,,,,,ronveaux léon,2.0,ronveaux léon,,per,True,True,,per,ronveaux léon,,Leon Ronveaux,Ronveaux Leon
4426-791068-nauwelaers,66,4426-791068,791068,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""duffel nauwelaers""~5","https://www.googleapis.com/books/v1/volumes?q=""nauwelaers+duffel""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,nauwelaers duffel,2.0,nauwelaers,,per,True,False,,per,nauwelaers duffel,duffel,,Nauwelaers
4426-791068-duffel,67,4426-791068,791068,,,,,Commune,,,,Belgium,nauwelaers duffel,2.0,duffel,True,loc,True,,,loc,nauwelaers duffel,duffel,,Nauwelaers
4456-792058-kurth,68,4456-792058,792058,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""kurth""~5","https://www.googleapis.com/books/v1/volumes?q=""kurth""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,kurth,1.0,kurth,,per,True,False,,per,kurth,,,Kurth
,69,4473-793089,793089,,,,,,,,,,autant en emporte le vent,5.0,,,,,,,,autant en emporte le vent,,,Autant Le Vent
4527-795470-quaregnon,70,4527-795470,795470,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""quaregnon""~5","https://www.googleapis.com/books/v1/volumes?q=""quaregnon""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Quaregnon,Commune,Quaregnon,Hainaut Province,Wallonia,Belgium,quaregnon,1.0,quaregnon,True,loc,True,,,loc,quaregnon,quaregnon,,
4612-799374-tielemans,71,4612-799374,799374,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""laarne tielemans""~5","https://www.googleapis.com/books/v1/volumes?q=""tielemans+laarne""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,tielemans laarne,2.0,tielemans,,per,True,False,,per,tielemans laarne,laarne,,Tielemans
4612-799374-laarne,72,4612-799374,799374,,,,,Commune,,,,Belgium,tielemans laarne,2.0,laarne,True,loc,True,,,loc,tielemans laarne,laarne,,Tielemans
4713-803670-cava tirreni,73,4713-803670,803670,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""cava tirreni""~5","https://www.googleapis.com/books/v1/volumes?q=""cava+tirreni""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,,,,,,Italy,cava tirreni,2.0,cava tirreni,,loc,True,False,false,loc,cava tirreni,,Cava Tirreni,Cava
4752-805839-lode tallon,74,4752-805839,805839,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""lode tallon""~5","https://www.googleapis.com/books/v1/volumes?q=""lode+tallon""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",True,,,,,,,lode tallon,2.0,lode tallon,,per,True,True,,per,lode tallon,,Lode Tallon,
4772-806204-verrebroeck,75,4772-806204,806204,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""verrebroeck""~5","https://www.googleapis.com/books/v1/volumes?q=""verrebroeck""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Verrebroek,Section,Beveren,East Flanders Province,Flanders,Belgium,verrebroeck,1.0,verrebroeck,,loc,True,,,loc,verrebroeck,,,Verrebroeck
4826-807658-frantz wittouck,76,4826-807658,807658,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""frantz wittouck""~5","https://www.googleapis.com/books/v1/volumes?q=""frantz+wittouck""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",True,,,,,,,frantz wittouck,2.0,frantz wittouck,,per,True,True,,per,frantz wittouck,,Frantz Wittouck,
4908-809880-namur,77,4908-809880,809880,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""namur""~5","https://www.googleapis.com/books/v1/volumes?q=""namur""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Namur,Commune,Namur,Namur Province,Wallonia,Belgium,namur,1.0,namur,True,loc,True,,,loc,namur,namur,,
,78,4996-813687,813687,,,,,,,,,,schelvis sterf,2.0,,,,,,,,schelvis sterf,,,Schelvis Sterf
,79,5013-814391,814391,,,,,,,,,,hockey,1.0,,,,,,,,hockey,,,Hockey
,80,5228-823575,823575,,,,,,,,,,vingtième siècle,2.0,,,,,,,,vingtième siècle,,,Siecle
,81,5275-825637,825637,,,,,,,,,,diables rouges football coupe monde,5.0,,,,,,,,diables rouges football coupe monde,,,Rouges Coupe Monde
5451-830608-hyfte,82,5451-830608,830608,,,False,,,,,,,hyfte mariakerke,2.0,hyfte,,per,True,False,,per,hyfte mariakerke,mariakerke,,Hyfte
5451-830608-mariakerke,83,5451-830608,830608,,,,,Section,,,,Belgium,,,mariakerke,False,loc,,,,loc,hyfte mariakerke,mariakerke,,Hyfte
