#,prenoms,Aantal in België,Aantal in Vlaanderen,Aantal in Wallonië,Aantal in Brussel
26874,Yunusemre,7,7,0,0
26875,Yorden,7,7,0,0
26876,Zinga,7,2,2,3
26877,Ymen,7,7,0,0
26878,Yliano,7,7,0,0
26879,Yitzchak,7,7,0,0
26880,Yigitcan,7,7,0,0
26881,Yenz,7,7,0,0
26882,Yentho,7,7,0,0
26883,Yenn,7,7,0,0
26884,Zekir,7,3,0,3
26885,Zein,7,3,0,3
26886,Zarif,7,3,0,3
26887,Xem,7,7,0,0
26888,Xano,7,7,0,0
26889,Yusufu,7,4,0,3
26890,Yuno,7,4,0,3
26891,Laurent-Philippe,7,3,3,0
26892,Wil,7,7,0,0
26893,Wibren,7,7,0,0
26894,Wibo,7,7,0,0
26895,Wenny,7,7,0,0
26896,Waud,7,7,0,0
26897,Viek,7,7,0,0
26898,Ladji,7,3,3,0
26899,Vedastus,7,7,0,0
26900,Turpal,7,7,0,0
26901,Tjarco,7,7,0,0
26902,Timpe,7,7,0,0
26903,Tibout,7,7,0,0
26904,Thorin,7,7,0,0
26905,Yannice,7,0,3,3
26906,Yakob,7,2,2,3
26907,Yahaya,7,0,3,3
26908,Tarcy,7,7,0,0
26909,Kouami,7,3,3,0
26910,Tamino,7,7,0,0
26911,Sybrand,7,7,0,0
26912,Sujan,7,7,0,0
26913,Stern,7,7,0,0
26914,Koku,7,2,3,2
26915,Stenne,7,7,0,0
26916,Klaus-Peter,7,3,3,0
26917,Sjouke,7,7,0,0
26918,Sinne,7,7,0,0
26919,Wender,7,4,0,3
26920,Silvijn,7,7,0,0
26921,Sille,7,7,0,0
26922,Siegerd,7,7,0,0
26923,Siege,7,7,0,0
26924,Siben,7,7,0,0
26925,Wadii,7,2,2,3
26926,Shadrach,7,7,0,0
26927,Vladut,7,4,0,3
26928,Vjatcheslav,7,2,2,3
26929,Sandip,7,7,0,0
26930,Saidjah,7,7,0,0
26931,Venancio,7,2,2,3
26932,Sadrettin,7,7,0,0
26933,Rumold,7,7,0,0
26934,Ruige,7,7,0,0
26935,Usein,7,3,0,3
26936,Rodny,7,7,0,0
26937,Rishat,7,7,0,0
26938,Rini,7,7,0,0
26939,Turay,7,2,2,3
26940,Riek,7,7,0,0
26941,Reynout,7,7,0,0
26942,Tsvetan,7,4,0,3
26943,Tshimanga,7,4,0,3
26944,Renerus,7,7,0,0
26945,Tshibangu,7,0,3,3
26946,Remondus,7,7,0,0
26947,Reinhoud,7,7,0,0
26948,Reinart,7,7,0,0
26949,Rayco,7,7,0,0
26950,John-Alexander,7,4,3,0
26951,Joddy,7,4,3,0
26952,Rando,7,7,0,0
26953,Joanis,7,2,3,2
26954,Rachman,7,7,0,0
26955,Prudens,7,7,0,0
26956,Pourya,7,7,0,0
26957,Polydorus,7,7,0,0
26958,Polycarpus,7,7,0,0
26959,Pinches,7,7,0,0
26960,Peterjan,7,7,0,0
26961,Jeanno,7,4,3,0
26962,Oswin,7,7,0,0
26963,Teemu,7,3,0,3
26964,Orrin,7,7,0,0
26965,Nirav,7,7,0,0
26966,Nilan,7,7,0,0
26967,Taichi,7,4,0,3
26968,Nikie,7,7,0,0
26969,Nickie,7,7,0,0
26970,Sumeet,7,3,0,3
26971,Musi,7,7,0,0
26972,öcal,7,4,3,0
26973,Sudhir,7,2,2,3
26974,Mosche,7,7,0,0
26975,Issoufou,7,2,3,2
26976,Mireau,7,7,0,0
26977,Milow,7,7,0,0
26978,Iskandar,7,3,3,0
26979,Milcho,7,7,0,0
26980,Mikayel,7,7,0,0
26981,Mikal,7,7,0,0
26982,Spike,7,4,0,3
26983,Mendi,7,7,0,0
26984,Sorel,7,3,0,3
26985,Somchai,7,3,0,3
26986,Mattio,7,7,0,0
26987,Matthy,7,7,0,0
26988,Matte,7,7,0,0
26989,Matizze,7,7,0,0
26990,Iginio,7,2,3,2
26991,Margino,7,7,0,0
26992,Marcoen,7,7,0,0
26993,Mannu,7,7,0,0
26994,Sho,7,4,0,3
26995,Maniel,7,7,0,0
26996,Malang,7,7,0,0
26997,Sharaf,7,3,0,3
26998,Longinus,7,7,0,0
26999,Shao,7,2,2,3
27000,Shany,7,3,0,3
27001,Lieuwe,7,7,0,0
27002,Shahine,7,2,2,3
27003,Levinus,7,7,0,0
27004,Shadrack,7,3,0,3
27005,Lavrans,7,7,0,0
27006,Laute,7,7,0,0
27007,Lard,7,7,0,0
27008,Serop,7,3,0,3
27009,Hekuran,7,3,3,0
27010,Heinz-Josef,7,3,3,0
27011,Kushal,7,7,0,0
27012,Hasip,7,3,3,0
27013,Kjen,7,7,0,0
27014,Kitano,7,7,0,0
27015,Kianni,7,7,0,0
27016,Khadar,7,7,0,0
27017,Kee,7,7,0,0
27018,Hakop,7,3,3,0
27019,Hakkan,7,4,3,0
27020,Sanders,7,0,3,3
27021,Hajjaj,7,3,3,0
27022,Hafizullah,7,4,3,0
27023,Jörge,7,7,0,0
27024,Jurriën,7,7,0,0
27025,Jura,7,7,0,0
27026,Jorven,7,7,0,0
27027,Jorrick,7,7,0,0
27028,Jorny,7,7,0,0
27029,Guillaume-Alexandre,7,2,3,2
27030,Jitte,7,7,0,0
27031,Jitser,7,7,0,0
27032,Jericho,7,7,0,0
27033,Jenty,7,7,0,0
27034,Jensie,7,7,0,0
27035,Jelter,7,7,0,0
27036,Jelmar,7,7,0,0
27037,Jeanick,7,7,0,0
27038,Jarvis,7,7,0,0
27039,Janou,7,7,0,0
27040,Rossen,7,2,2,3
27041,Jan-Laurens,7,7,0,0
27042,Jan-Alexander,7,7,0,0
27043,Jachim,7,7,0,0
27044,Romdhane,7,4,0,3
27045,Iwijn,7,7,0,0
27046,Ivaan,7,7,0,0
27047,Riyas,7,2,2,3
27048,Imar,7,7,0,0
27049,Hilko,7,7,0,0
27050,Henke,7,7,0,0
27051,Hazar,7,7,0,0
27052,Hartog,7,7,0,0
27053,Harsh,7,7,0,0
27054,Ranjan,7,2,2,3
27055,Gabrielle,7,2,3,2
27056,Guydo,7,7,0,0
27057,Gurwinder,7,7,0,0
27058,Guibertus,7,7,0,0
27059,Radisa,7,4,0,3
27060,Gudo,7,7,0,0
27061,Grisja,7,7,0,0
27062,Gregorey,7,7,0,0
27063,Gilbeert,7,7,0,0
27064,Qaïs,7,2,3,3
27065,Gerrit-Jan,7,7,0,0
27066,Geroom,7,7,0,0
27067,Germund,7,7,0,0
27068,Geertjan,7,7,0,0
27069,Geerd,7,7,0,0
27070,Pitrus,7,4,0,3
27071,Florre,7,7,0,0
27072,Filipo,7,2,3,2
27073,Florijn,7,7,0,0
27074,Filippus,7,7,0,0
27075,Fetah,7,3,3,0
27076,Filibert,7,7,0,0
27077,Felten,7,7,0,0
27078,Pertti,7,4,0,3
27079,Everaard,7,7,0,0
27080,Patient,7,2,2,3
27081,Ericus,7,7,0,0
27082,Ergjan,7,7,0,0
27083,Elout,7,7,0,0
27084,Elger,7,7,0,0
27085,Osagie,7,4,0,3
27086,Orville,7,2,2,3
27087,Esmir,7,4,3,0
27088,Donnie,7,7,0,0
27089,Djorven,7,7,0,0
27090,Djano,7,7,0,0
27091,Ermano,7,4,3,0
27092,Dionijs,7,7,0,0
27093,Dille,7,7,0,0
27094,Diesel,7,7,0,0
27095,Nugzar,7,0,3,3
27096,Diel,7,7,0,0
27097,Dex,7,7,0,0
27098,Denzell,7,7,0,0
27099,Denie,7,7,0,0
27100,Niculai,7,2,2,3
27101,Danni,7,7,0,0
27102,Eloge,7,3,3,0
27103,Cho,7,7,0,0
27104,Camu,7,7,0,0
27105,Nareg,7,3,0,3
27106,Bjarno,7,7,0,0
27107,Bjärne,7,7,0,0
27108,Bibek,7,7,0,0
27109,Nacereddine,7,0,3,3
27110,Durali,7,3,3,0
27111,Baud,7,7,0,0
27112,Barteld,7,7,0,0
27113,Moulaye,7,0,3,3
27114,Artho,7,7,0,0
27115,Arnou,7,7,0,0
27116,Monga,7,2,2,3
27117,Arnis,7,7,0,0
27118,Mohamed-Rayan,7,2,2,3
27119,Antoinne,7,7,0,0
27120,Ansel,7,7,0,0
27121,Aloies,7,7,0,0
27122,Miloslav,7,0,3,3
27123,Dayvid,7,4,3,0
27124,Mesmin,7,3,0,3
27125,Danis,7,4,3,0
27126,Ah,7,7,0,0
27127,Aeron,7,7,0,0
27128,Aeren,7,7,0,0
27129,Achillius,7,7,0,0
27130,Maya,7,3,0,3
27131,Mavinga,7,3,0,3
27132,Aaren,7,7,0,0
27133,Codjo,7,2,3,2
27134,Chuen,7,4,3,0
27135,Chahir,7,4,3,0
27136,Luqman,7,3,0,3
27137,Loukili,7,3,0,3
27138,Ljatif,7,2,2,3
27139,Linton,7,4,0,3
27140,Lhabib,7,4,0,3
27141,Lavdrim,7,0,3,3
27142,Laurien,7,0,3,3
27143,Lachezar,7,4,0,3
27144,Belkhir,7,3,3,0
27145,Kyamil,7,4,0,3
27146,Kwami,7,2,2,3
27147,Bardh,7,3,3,0
27148,Kordian,7,4,0,3
27149,Kodzo,7,2,2,3
27150,Klodjan,7,4,0,3
27151,Khashayar,7,2,2,3
27152,Khanh,7,2,2,3
27153,Atanur,7,4,3,0
27154,Khalile,7,0,3,3
27155,Atal,7,2,3,2
27156,Kentaro,7,3,0,3
27157,Anastas,7,2,3,2
27158,Jerico,7,4,0,3
27159,Jeison,7,2,2,3
27160,Jean-Remi,7,2,2,3
27161,Jahan,7,2,2,3
27162,Aedan,7,4,3,0
27163,Abdrahman,7,3,3,0
27164,Isao,7,0,3,3
27165,Abdelmalak,7,4,3,0
27166,Ingolf,7,2,2,3
27167,Ihsane,7,2,2,3
27168,Zekirija,7,2,4,0
27169,Husam,7,3,0,3
27170,Hoo,7,4,0,3
27171,Hemant,7,3,0,3
27172,Hayan,7,2,2,3
27173,Volodia,7,2,4,0
27174,Viny,7,0,4,2
27175,Veasna,7,2,4,0
27176,Hajdin,7,0,3,3
27177,Hajdar,7,4,0,3
27178,Toulouse,7,3,4,0
27179,Habibou,7,0,3,3
27180,Haïkel,7,3,2,3
27181,Ha,7,0,3,3
27182,Gürcan,7,3,0,3
27183,Timurhan,7,2,4,0
27184,Gysbert,7,3,0,3
27185,Thybault,7,3,4,0
27186,Slawko,7,3,4,0
27187,Silvin,7,3,4,0
27188,Sid-Ahmed,7,0,4,2
27189,Gebril,7,0,3,3
27190,Senel,7,3,4,0
27191,Sebti,7,0,4,2
27192,Fodil,7,3,0,3
27193,Florea,7,2,2,3
27194,Ferman,7,3,0,3
27195,Fathy,7,2,2,3
27196,Rrahman,7,2,4,0
27197,Fantin,7,0,3,3
27198,Rodrig,7,2,4,0
27199,Ezzedine,7,3,0,3
27200,Rifet,7,2,4,0
27201,Espoir,7,2,2,3
27202,Erim,7,2,2,3
27203,Eneko,7,3,0,3
27204,Emmanouel,7,2,2,3
27205,Emannuel,7,3,0,3
27206,Elmaz,7,2,2,3
27207,Elhoussine,7,3,0,3
27208,Elhoucine,7,0,3,3
27209,Elhadi,7,0,3,3
27210,Eleutherios,7,2,2,3
27211,El-Hassan,7,0,3,3
27212,Paulos,7,2,4,0
27213,Pashtrik,7,3,4,0
27214,Onofre,7,2,4,0
27215,Olinto,7,2,4,0
27216,Olimpio,7,2,4,0
27217,Duke,7,4,0,3
27218,Dror,7,2,2,3
27219,Nygel,7,3,4,0
27220,Dodi,7,3,0,3
27221,Djemal,7,2,2,3
27222,Ngoy,7,0,4,3
27223,Necat,7,2,4,0
27224,Dinçer,7,4,3,3
27225,Dilek,7,4,0,3
27226,Mumin,7,3,4,0
27227,Mulumba,7,3,4,0
27228,Mulla,7,3,4,0
27229,Mounji,7,0,4,2
27230,Daran,7,3,0,3
27231,Daniels,7,2,2,3
27232,Damianos,7,0,3,3
27233,Mevlit,7,0,4,2
27234,Circis,7,2,2,3
27235,Maty,7,2,4,0
27236,Massimino,7,3,4,0
27237,Maman,7,0,4,2
27238,Mahdy,7,0,4,2
27239,Mahammed,7,2,4,0
27240,Chaabane,7,3,0,3
27241,Ceylani,7,4,0,3
27242,Cemali,7,2,2,3
27243,Lüka,7,2,4,0
27244,Lowick,7,3,4,0
27245,Loni,7,0,4,2
27246,Boujamâ,7,3,0,3
27247,Lirian,7,0,4,3
27248,Lié,7,7,4,0
27249,Leonida,7,2,4,0
27250,Bongo,7,0,3,3
27251,Laurys,7,0,4,3
27252,Laurant,7,2,4,0
27253,Bhim,7,3,0,3
27254,Bernabe,7,2,3,3
27255,Kinaï,7,3,4,0
27256,Bejtula,7,3,0,3
27257,Juaquin,7,2,4,0
27258,Ayawo,7,2,2,3
27259,Ashutosh,7,2,2,3
27260,Jean-Eudes,7,0,4,2
27261,Ashfaq,7,2,2,3
27262,Asadullah,7,4,0,3
27263,Arlan,7,4,0,3
27264,Ivann,7,0,4,2
27265,Antoun,7,0,3,3
27266,Hyronimus,7,3,4,0
27267,Amirali,7,3,0,3
27268,Henzo,7,2,4,0
27269,Amarildo,7,3,0,3
27270,Henri-Pierre,7,0,4,2
27271,Hellmuth,7,3,4,0
27272,Haykel,7,0,4,2
27273,Allouch,7,3,0,3
27274,Alic,7,3,0,3
27275,Guirec,7,0,4,3
27276,Akmal,7,2,2,3
27277,Aioub,7,2,2,3
27278,Glauco,7,2,4,0
27279,Abdulwahab,7,2,2,3
27280,Abdourahim,7,3,0,3
27281,Abdoulkarim,7,0,3,3
27282,Abdenor,7,2,2,3
27283,Forrest,7,2,4,0
27284,Femija,7,3,4,0
27285,Fabyan,7,3,4,0
27286,Abdelgani,7,2,2,3
27287,Abdelati,7,3,0,3
27288,Ethanaël,7,0,4,2
27289,Ab,7,2,2,3
27290,Erwyn,7,2,4,0
27291,Zouher,7,0,2,4
27292,Elemer,7,2,4,0
27293,Ede,7,3,4,0
27294,Dylann,7,2,4,0
27295,Yagoub,7,3,0,4
27296,Donatello,7,0,4,3
27297,Djayson,7,2,4,0
27298,Devan,7,3,4,0
27299,Vigen,7,2,0,4
27300,Crescenzo,7,3,4,0
27301,Tuong,7,0,3,4
27302,Consolato,7,3,4,0
27303,Toshio,7,3,0,4
27304,Thuan,7,0,2,4
27305,Cassiel,7,0,4,3
27306,Suhail,7,3,0,4
27307,Subhan,7,2,0,4
27308,Srinivasa,7,3,0,4
27309,Sridhar,7,3,0,4
27310,Sorinel,7,3,0,4
27311,Solimane,7,3,0,4
27312,Shota,7,3,0,4
27313,Azbi,7,0,4,3
27314,Selmane,7,0,3,4
27315,Seiji,7,2,0,4
27316,Saulius,7,2,0,4
27317,Atilio,7,2,4,0
27318,Sabih,7,0,2,4
27319,Riku,7,3,0,4
27320,Rajib,7,0,2,4
27321,Alis,7,2,4,0
27322,Racine,7,2,0,4
27323,Puiu,7,2,0,4
27324,Pontus,7,2,0,4
27325,Adnen,7,3,4,0
27326,Adelchi,7,2,4,0
27327,Abdulhalim,7,2,4,0
27328,Abdelmoutalib,7,0,4,3
27329,Paskalis,7,0,3,4
27330,Outmane,7,2,0,4
27331,Nohé,7,0,3,4
27332,Ydris,7,2,5,0
27333,Nisar,7,2,0,4
27334,Victorin,7,2,5,0
27335,Nasser-Eddine,7,0,2,4
27336,Türkay,7,0,5,0
27337,Tranquillo,7,0,5,0
27338,Tihamer,7,2,5,0
27339,Moschos,7,2,0,4
27340,Teodosio,7,0,5,0
27341,Mohammet,7,0,2,4
27342,Miled,7,0,2,4
27343,Steeves,7,0,5,0
27344,Sly,7,2,5,0
27345,Mensah,7,3,0,4
27346,Marzio,7,2,0,4
27347,Santy,7,2,5,0
27348,Salvio,7,2,5,0
27349,Salvadore,7,2,5,0
27350,Saël,7,0,5,0
27351,Mahfoudh,7,0,2,4
27352,Richel,7,2,5,0
27353,Lamarana,7,3,0,4
27354,Paul-Philippe,7,2,5,0
27355,Paul-Eric,7,0,5,0
27356,Kosuke,7,3,0,4
27357,Palmerio,7,0,5,0
27358,Khawar,7,2,0,4
27359,Karolis,7,3,0,4
27360,Morrison,7,2,5,0
27361,Jak,7,2,0,4
27362,Marcy,7,2,5,0
27363,Marc-Etienne,7,0,5,2
27364,Itay,7,2,0,4
27365,Iskren,7,2,0,4
27366,Luc-Marie,7,0,5,0
27367,Ichiro,7,3,0,4
27368,Lauriano,7,2,5,0
27369,Hossaine,7,2,0,4
27370,Kody,7,2,5,0
27371,Haig,7,2,0,4
27372,José-Manuel,7,0,5,2
27373,John-Eric,7,0,5,0
27374,Johanny,7,0,5,0
27375,Girish,7,3,0,4
27376,Jersy,7,2,5,0
27377,Gilson,7,2,0,4
27378,Jean-Lucien,7,0,5,0
27379,Jamison,7,2,5,0
27380,Igino,7,2,5,0
27381,Epaminondas,7,0,2,4
27382,Gimmy,7,2,5,0
27383,Dzelal,7,2,0,4
27384,Dmitrii,7,0,2,4
27385,François-Emmanuel,7,0,5,0
27386,Daddy,7,3,0,4
27387,Démosthène,7,0,3,4
27388,Emmeran,7,2,5,0
27389,Charafeddine,7,2,0,4
27390,Caius,7,3,0,4
27391,Caetano,7,2,0,4
27392,Edan,7,0,5,0
27393,Byurhan,7,3,0,4
27394,Douchan,7,0,5,2
27395,Douadi,7,0,5,2
27396,Donnovan,7,0,5,0
27397,Derradji,7,0,5,0
27398,Daven,7,2,5,0
27399,Ayob,7,3,0,4
27400,Ayaan,7,3,0,4
27401,Chayanne,7,2,5,0
27402,Assou,7,0,3,4
27403,Calogerino,7,2,5,0
27404,Callan,7,0,5,0
27405,Cédrix,7,0,5,2
27406,Benoist,7,0,5,0
27407,Beauduin,7,2,5,0
27408,Anesti,7,0,3,4
27409,Bastiano,7,0,5,0
27410,André-Louis,7,0,5,0
27411,Ahmidane,7,2,0,4
27412,Afaq,7,2,0,4
27413,Adonaï,7,4,2,4
27414,Adeyemi,7,3,0,4
27415,Allessio,7,2,5,0
27416,Alhan,7,0,5,2
27417,Alfredy,7,2,5,0
27418,Abdelmaoula,7,0,2,4
27419,Abdelmajide,7,3,0,4
27420,Abdellilah,7,2,0,4
27421,Zsombor,7,0,0,5
27422,Zhigang,7,2,0,5
27423,Yousseff,7,0,0,5
27424,Vincent-Marie,7,0,6,0
27425,Tybalt,7,0,6,0
27426,Tidjy,7,0,6,0
27427,Thybaut,7,0,6,0
27428,Tomé,7,4,3,5
27429,Tennessee,7,0,6,0
27430,Tete,7,0,2,5
27431,Teodoros,7,0,0,5
27432,Stecy,7,0,6,0
27433,Takao,7,2,0,5
27434,Roanne,7,0,6,0
27435,Sayfeddine,7,0,0,5
27436,Pierre-Hubert,7,0,6,0
27437,Pierre-Dominique,7,0,6,0
27438,Salaheddin,7,0,0,5
27439,Normann,7,0,6,0
27440,Nolwenn,7,0,6,0
27441,Nolhann,7,0,6,0
27442,Nephtali,7,0,6,0
27443,Nataël,7,0,6,0
27444,Michelo,7,0,6,0
27445,Mavric,7,0,6,0
27446,Pathy,7,0,0,5
27447,Loyc,7,0,6,0
27448,Nobuo,7,0,0,5
27449,Nistor,7,0,0,5
27450,Laurent-Emmanuel,7,0,6,0
27451,Lélio,7,2,6,0
27452,Kenty,7,0,6,0
27453,Kemel,7,0,6,0
27454,Jean-Karl,7,0,6,0
27455,Hüdaver,7,0,6,0
27456,Mamane,7,0,2,5
27457,Hans-Josef,7,0,6,0
27458,Lahdo,7,0,0,5
27459,Koki,7,0,0,5
27460,Klaudiusz,7,0,0,5
27461,Kiyoshi,7,0,0,5
27462,Gailord,7,0,6,0
27463,Kinan,7,0,0,5
27464,Gailor,7,0,6,0
27465,Gabriello,7,0,6,0
27466,Kalim,7,0,0,5
27467,Ermando,7,0,6,0
27468,Djimmy,7,0,6,0
27469,Jehad,7,2,0,5
27470,Delfino,7,0,6,0
27471,Clirim,7,0,6,0
27472,Christian-Marie,7,0,6,0
27473,Humayun,7,2,0,5
27474,Behzat,7,0,6,0
27475,Angiolo,7,0,6,0
27476,Abdoul-Malik,7,0,6,0
27477,Yoanne,7,0,7,0
27478,Eugeniu,7,0,0,5
27479,Esmaël,7,4,0,5
27480,Westley,7,0,7,0
27481,Egil,7,0,0,5
27482,Théotim,7,0,7,0
27483,Télio,7,0,7,0
27484,Drissa,7,0,2,5
27485,Dorinel,7,0,0,5
27486,Rosano,7,0,7,0
27487,Codrut,7,0,2,5
27488,Remacle,7,0,7,0
27489,Cleiton,7,2,0,5
27490,Pierre-Denis,7,0,7,0
27491,Pholien,7,0,7,0
27492,Catello,7,0,0,5
27493,Boyko,7,2,0,5
27494,Benaisa,7,2,0,5
27495,Myckel,7,0,7,0
27496,Meven,7,0,7,0
27497,Arunas,7,2,0,5
27498,Meidy,7,0,7,0
27499,Masson,7,0,7,0
27500,Mahel,7,0,7,0
27501,Amram,7,2,0,5
27502,Abdillah,7,2,0,5
27503,Abdessatar,7,0,0,5
27504,Abdessamie,7,2,0,5
27505,Abderachid,7,2,0,5
27506,John-Henri,7,0,7,0
27507,Jofroi,7,0,7,0
27508,Zin,7,0,0,6
27509,Idolo,7,0,7,0
27510,Huguet,7,0,7,0
27511,Guy-Marie,7,0,7,0
27512,Toshihiro,7,0,0,6
27513,Tetsuo,7,0,0,6
27514,Takaaki,7,0,0,6
27515,Shin,7,0,0,6
27516,Drystan,7,0,7,0
27517,Drice,7,0,7,0
27518,Doryann,7,0,7,0
27519,Ryota,7,0,0,6
27520,Claude-Michel,7,0,7,0
27521,Charles-Etienne,7,0,7,0
27522,Castrenze,7,0,7,0
27523,Barthélemi,7,2,7,0
27524,Andriano,7,0,7,0
27525,Alberino,7,0,7,0
27526,Alain-Pierre,7,0,7,0
27527,Adryen,7,0,7,0
27528,Juergen,7,0,0,6
27529,Igors,7,0,0,6
27530,Houd,7,0,0,6
27531,Harone,7,0,0,6
27532,Hajime,7,0,0,6
27533,Dac,7,0,0,6
27534,Amid,7,0,0,6
27535,Allassane,7,0,0,6
27536,Afrem,7,0,0,6
27537,Moussab,7,0,0,7
27538,Kohei,7,0,0,7
27539,Hiroto,7,0,0,7
27540,Baby,7,0,0,7
27541,Zinayida,6,3,2,0
27542,Zalpa,6,3,2,0
27543,Yvy,6,3,2,0
27544,Yazmin,6,3,2,0
27545,Yala,6,3,2,0
27546,Willa,6,3,2,0
27547,Vitalba,6,3,2,0
27548,Vinny,6,3,2,0
27549,Tevrat,6,3,2,0
27550,Sümeyre,6,3,2,0
27551,Sumayya,6,3,2,0
27552,Silveria,6,3,2,0
27553,Sibela,6,3,2,0
27554,Shuko,6,3,2,0
27555,Shena,6,3,2,0
27556,Shehrije,6,3,2,0
27557,Seza,6,3,2,0
27558,Savka,6,3,2,0
27559,Sallie,6,3,2,0
27560,Sabila,6,3,2,0
27561,Rith,6,3,2,0
27562,Pooneh,6,3,2,0
27563,Piya,6,3,2,0
27564,Ümmiye,6,4,0,0
27565,Parfaite,6,3,2,0
27566,Zübeyda,6,4,2,0
27567,Zuleha,6,4,0,0
27568,Zizi,6,4,0,0
27569,Zinka,6,4,2,0
27570,Zinat,6,4,0,0
27571,Zilha,6,4,0,0
27572,Zenaïde,6,4,2,0
27573,Zemira,6,4,0,0
27574,Zani,6,4,0,0
27575,Zada,6,4,2,0
27576,Yuxia,6,4,0,0
27577,On,6,3,2,0
27578,Olenka,6,3,2,0
27579,Ymkje,6,4,0,0
27580,Wyna,6,4,2,0
27581,Wanpen,6,4,2,0
27582,Nick,6,3,2,0
27583,Visnja,6,4,2,0
27584,Virag,6,4,0,0
27585,Vildana,6,4,2,0
27586,Utah,6,4,0,0
27587,Ulrica,6,4,2,0
27588,Turkijana,6,4,0,0
27589,Toinon,6,4,0,0
27590,Tlayatmas,6,4,0,0
27591,Natija,6,3,2,0
27592,Tida,6,4,2,0
27593,Thila,6,4,0,0
27594,Nargül,6,3,2,0
27595,Tahlia,6,4,2,0
27596,Nafi,6,3,2,0
27597,Nachida,6,3,2,0
27598,Surekha,6,4,0,0
27599,Souheyla,6,4,0,0
27600,Muzaffer,6,3,2,0
27601,Munever,6,3,2,0
27602,Skylar,6,4,2,0
27603,Mukadez,6,3,2,0
27604,Shoni,6,4,2,0
27605,Sheba,6,4,2,0
27606,Shayana,6,4,2,0
27607,Shanaz,6,4,2,0
27608,Senaj,6,4,0,0
27609,Selvedina,6,4,2,0
27610,Sekine,6,4,2,0
27611,Sedina,6,4,2,0
27612,Schanna,6,4,2,0
27613,Sayra,6,4,0,0
27614,Sayan,6,4,0,0
27615,Salomey,6,4,0,0
27616,Sallouha,6,4,0,0
27617,Mefaret,6,3,2,0
27618,Safure,6,4,2,0
27619,Medinat,6,3,2,0
27620,Rinna,6,4,2,0
27621,Renia,6,4,2,0
27622,Refadija,6,4,2,0
27623,Rattanaporn,6,4,0,0
27624,Puja,6,4,0,0
27625,Phoenix,6,4,2,0
27626,Petmat,6,4,2,0
27627,Patchara,6,4,0,0
27628,Panadda,6,4,2,0
27629,Marie-Lisa,6,3,2,0
27630,Marie-Clarisse,6,3,2,0
27631,Nour-El-Houda,6,4,2,0
27632,Marie-Adrienne,6,3,2,0
27633,Mariatu,6,3,2,0
27634,Marha,6,3,2,0
27635,Nefiye,6,4,0,0
27636,Nebile,6,4,2,0
27637,Marcille,6,3,2,0
27638,Nastazja,6,4,0,0
27639,Mansouria,6,3,2,0
27640,Nasiera,6,4,0,0
27641,Naree,6,4,2,0
27642,Namira,6,4,0,0
27643,Nagehan,6,4,2,0
27644,Myrtha,6,4,2,0
27645,Morrigan,6,4,2,0
27646,Mohinder,6,4,0,0
27647,Minavere,6,4,0,0
27648,Micky,6,4,2,0
27649,Mevljide,6,4,2,0
27650,Merly,6,4,0,0
27651,Medi,6,4,0,0
27652,Mboyo,6,4,0,0
27653,Maurie,6,4,2,0
27654,Maudy,6,4,2,0
27655,Maruska,6,4,0,0
27656,Markita,6,4,0,0
27657,Marie-Rosa,6,4,2,0
27658,Marie-Josepha,6,4,0,0
27659,Maria-Paula,6,4,0,0
27660,Lulieta,6,3,2,0
27661,Malenka,6,4,2,0
27662,Lovina,6,3,2,0
27663,Lorita,6,3,2,0
27664,Loresa,6,3,2,0
27665,Luzminda,6,4,0,0
27666,Lumturi,6,4,0,0
27667,Louissa,6,4,0,0
27668,Lille,6,4,0,0
27669,Liliam,6,4,0,0
27670,Leylya,6,4,0,0
27671,Lenita,6,4,0,0
27672,Lazara,6,4,0,0
27673,Laurynn,6,4,0,0
27674,Laude,6,4,0,0
27675,Latiffa,6,4,0,0
27676,Kyo,6,4,0,0
27677,Kiyafet,6,4,0,0
27678,Kinnie,6,4,0,0
27679,Khadichat,6,4,0,0
27680,Keya,6,4,0,0
27681,Laïssa,6,3,2,0
27682,Kajal,6,4,0,0
27683,Jovelyn,6,4,0,0
27684,Kissa,6,3,2,0
27685,Jingjing,6,4,0,0
27686,Khadja,6,4,2,0
27687,Jarah,6,4,0,0
27688,Kerrie,6,4,2,0
27689,Jaclyn,6,4,0,0
27690,Jackline,6,4,0,0
27691,Kelli,6,4,2,0
27692,Kayowa,6,3,2,0
27693,Kathrijn,6,3,2,0
27694,Kasey,6,4,2,0
27695,Ilay,6,4,0,0
27696,Ignace,6,4,0,0
27697,Igbale,6,4,0,0
27698,Hayrunisa,6,4,0,0
27699,Harbans,6,4,0,0
27700,Jomana,6,3,2,0
27701,Gvantsa,6,4,0,0
27702,Joëla,6,4,2,0
27703,Goncagül,6,4,0,0
27704,Zoha,6,3,0,2
27705,Gertrüd,6,4,0,0
27706,Jennate,6,3,2,0
27707,Genette,6,4,0,0
27708,Zahera,6,4,0,2
27709,Genesia,6,4,0,0
27710,Zahava,6,4,0,2
27711,Gehan,6,4,0,0
27712,Jatinder,6,3,2,0
27713,Yuling,6,2,2,2
27714,Janetta,6,3,2,0
27715,You,6,2,2,2
27716,Florentyna,6,4,0,0
27717,Yolente,6,4,0,2
27718,Jaina,6,3,2,0
27719,Yassina,6,4,0,2
27720,Yarie,6,4,0,2
