Column,unique_id_query,visit_id,unique_id_match,wikipedia_link_nl,google_book_query,nom_complet,toponymName,fclName,commune,province,region,country,query_normalised,queries_ngrams,MATCH,equality_match_extract_geonames,types_Anne,equality_anne_ettore,nom_complet?,nom_complet_ailleurs?,types_Ettore,queries
17,921-667762,667762,921-667762-charles bernard,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""bernard charles discours""~5","https://www.googleapis.com/books/v1/volumes?q=""discours+charles+bernard""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,,,,,,,discours charles bernard,3,charles bernard,,per,true,true,,per,discours charles bernard
18,939-668536,668536,939-668536-baelen,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""baelen necrologie""~5","https://www.googleapis.com/books/v1/volumes?q=""necrologie+baelen""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,necrologie baelen,2,baelen,,per,true,false,,per,necrologie baelen
19,1017-670263,670263,1017-670263-mies van der rohe,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""der mies rohe van""~5","https://www.googleapis.com/books/v1/volumes?q=""mies+van+der+rohe""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,,,,,,,mies van der rohe,4,mies van der rohe,,per,true,true,,per,mies van der rohe
20,1182-674942,674942,1182-674942-malpertuis,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""malpertuis""~5","https://www.googleapis.com/books/v1/volumes?q=""malpertuis""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,,,,,,Netherlands,malpertuis,1,malpertuis,,loc,true,,,loc,malpertuis
21,1194-675209,675209,,,,,,,,,,,comptoir generale d,3,,,,,,,,comptoir generale d
22,1218-675792,675792,1218-675792-gambon,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""gambon""~5","https://www.googleapis.com/books/v1/volumes?q=""gambon""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,gambon,1,gambon,,per,true,false,,per,gambon
23,1220-675792,675792,1220-675792-lemaitre,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""lemaitre""~5","https://www.googleapis.com/books/v1/volumes?q=""lemaitre""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,lemaitre,1,lemaitre,,per,true,false,,per,lemaitre
24,1359-679543,679543,1359-679543-botaine,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""botaine""~5","https://www.googleapis.com/books/v1/volumes?q=""botaine""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,botaine,1,botaine,,ambig,true,,,ambig,botaine
25,1550-684323,684323,1550-684323-atwerpen,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""atwerpen""~5","https://www.googleapis.com/books/v1/volumes?q=""atwerpen""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Antwerpen,Commune,Antwerpen,Antwerpen,Flanders,Belgium,atwerpen,1,atwerpen,,loc,true,,,loc,atwerpen
26,1595-686387,686387,1595-686387-gysegem,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""gysegem""~5","https://www.googleapis.com/books/v1/volumes?q=""gysegem""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,gysegem,1,gysegem,,per,true,false,,per,gysegem
27,1641-687149,687149,1641-687149-marville,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""marville""~5","https://www.googleapis.com/books/v1/volumes?q=""marville""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,France,marville,1,marville,,per,true,false,,per,marville
28,1771-690549,690549,1771-690549-pelzer,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""pelzer""~5","https://www.googleapis.com/books/v1/volumes?q=""pelzer""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,pelzer,1,pelzer,,per_loc,true,false,,per_loc,pelzer
29,1841-692698,692698,1841-692698-jeanne romain,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""albert dassy jeanne romain""~5","https://www.googleapis.com/books/v1/volumes?q=""jeanne+romain+albert+dassy""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,,,,,,,jeanne romain albert dassy,4,jeanne romain,,per,true,true,,per,jeanne romain albert dassy
30,1841-692698,692698,1841-692698-albert dassy,,,true,,,,,,,jeanne romain albert dassy,4,albert dassy,,per,true,true,,per,jeanne romain albert dassy
31,1869-693264,693264,1869-693264-delovere,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""delovere""~5","https://www.googleapis.com/books/v1/volumes?q=""delovere""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,delovere,1,delovere,,per,true,false,,per,delovere
32,1877-693668,693668,,,,,,,,,,,gazlicht kerk,2,,,,,,,,gazlicht kerk
33,1993-697725,697725,1993-697725-cordelois,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""cordelois""~5","https://www.googleapis.com/books/v1/volumes?q=""cordelois""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,cordelois,1,cordelois,,per,false,false,,ambig,cordelois
34,2005-697861,697861,,,,,,,,,,,yom-kipour,1,,,,,,,,yom-kipour
35,2047-698434,698434,2047-698434-cornil station,,,,,POI,,,,Belgium,cornil station maison charleroi,4,cornil station,false,loc,true,false,false,loc,cornil station maison charleroi
36,2047-698434,698434,2047-698434-charleroi,,,,,Commune,,,,Belgium,cornil station maison charleroi,4,charleroi,true,loc,true,false,false,loc,cornil station maison charleroi
37,2116-701067,701067,2116-701067-libot,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""libot""~5","https://www.googleapis.com/books/v1/volumes?q=""libot""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,libot,1,libot,,per,true,false,,per,libot
38,2194-702815,702815,2194-702815-isidoor,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""isidoor""~5","https://www.googleapis.com/books/v1/volumes?q=""isidoor""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,isidoor,1,isidoor,,per,true,false,,per,isidoor
39,2362-708006,708006,2362-708006-peltier,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""peltier""~5","https://www.googleapis.com/books/v1/volumes?q=""peltier""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,peltier,1,peltier,,per,true,false,,per,peltier
40,2372-708451,708451,2372-708451-van glabbeek,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""glabbeek van""~5","https://www.googleapis.com/books/v1/volumes?q=""van+glabbeek""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,,,,,,,van glabbeek,2,van glabbeek,,per,true,false,false,per,van glabbeek
41,2375-708628,708628,2375-708628-dexter,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""dexter""~5","https://www.googleapis.com/books/v1/volumes?q=""dexter""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,dexter,1,dexter,,per,true,false,,per,dexter
42,2546-714246,714246,2546-714246-thonon xavier,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""thonon xavier""~5","https://www.googleapis.com/books/v1/volumes?q=""thonon+xavier""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,,,,,,,thonon xavier,2,thonon xavier,,per,true,true,,per,thonon xavier
43,2794-722945,722945,2794-722945-charles lamquet,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""charles jambes lamquet""~5","https://www.googleapis.com/books/v1/volumes?q=""charles+lamquet+jambes""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,,,,,,,charles lamquet jambes,3,charles lamquet,,per,true,true,,per,charles lamquet jambes
44,2794-722945,722945,2794-722945-jambes,,,,,Section,,,,Belgium,charles lamquet jambes,3,jambes,true,loc,true,,,loc,charles lamquet jambes
45,2832-725615,725615,2832-725615-curer bell,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""bell curer""~5","https://www.googleapis.com/books/v1/volumes?q=""curer+bell""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,,,,,,,curer bell,2,curer bell,,per,true,true,,per,curer bell
46,2910-728614,728614,,,,,,,,,,,komiks,1,,,,,,,,komiks
47,3011-732733,732733,,,,,,,,,,,olympiade,1,,,,,,,,olympiade
48,3099-735376,735376,3099-735376-havré,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""abandonnes havre""~5","https://www.googleapis.com/books/v1/volumes?q=""havr%C3%A9+abandonn%C3%A9s""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Havré,Section,Mons,Hainaut Province,Wallonia,Belgium,havré abandonnés,2,havré,true,loc,true,,,loc,havré abandonnés
49,3224-739491,739491,,,,,,,,,,,garde maritime,2,,,,,,,,garde maritime
50,3258-740088,740088,,,,false,,,,,,,brossel,1,,,per,true,false,,per,brossel
51,3260-740248,740248,3260-740248-liezele,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""liezele""~5","https://www.googleapis.com/books/v1/volumes?q=""liezele""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Liezele,Section,Puurs,Antwerpen,Flanders,Belgium,liezele,1,liezele,true,loc,true,,,loc,liezele
52,3388-746195,746195,3388-746195-dhuy,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""dhuy""~5","https://www.googleapis.com/books/v1/volumes?q=""dhuy""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,Section,,,,Belgium,dhuy,1,dhuy,true,loc,true,,,loc,dhuy
53,3540-752815,752815,3540-752815-sohie,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""sohie""~5","https://www.googleapis.com/books/v1/volumes?q=""sohie""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,sohie,1,sohie,,per,true,false,,per,sohie
54,3541-752964,752964,3541-752964-sweron,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""sweron""~5","https://www.googleapis.com/books/v1/volumes?q=""sweron""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,sweron,1,sweron,,per,true,false,,per,sweron
55,3848-769048,769048,3848-769048-werbrouck,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""diamant werbrouck""~5","https://www.googleapis.com/books/v1/volumes?q=""diamant+werbrouck""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,diamant werbrouck,2,werbrouck,,per,true,false,,per,diamant werbrouck
56,3874-769793,769793,,,,,,,,,,,batima,1,,,,,,,,batima
57,3958-772163,772163,,,,,,,,,,,la maitresse d,3,,,,,,,,la maitresse d
58,4020-774704,774704,4020-774704-jalhay,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""jalhay""~5","https://www.googleapis.com/books/v1/volumes?q=""jalhay""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Jalhay,Commune,Jalhay,Liège Province,Wallonia,Belgium,jalhay,1,jalhay,true,loc,true,,,loc,jalhay
59,4031-775116,775116,4031-775116-louis nieter,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""louis nieter""~5","https://www.googleapis.com/books/v1/volumes?q=""louis+nieter""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,,,,,,,louis nieter,2,louis nieter,,per,true,true,,per,louis nieter
60,4136-781498,781498,4136-781498-herzele,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""duiven herzele""~5","https://www.googleapis.com/books/v1/volumes?q=""herzele+duiven""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Herzele,Commune,Herzele,East Flanders Province,Flanders,Belgium,herzele duiven,2,herzele,true,loc,true,,,loc,herzele duiven
61,4136-781498,781498,4136-781498-duiven,,,,,,,,,Netherlands,herzele duiven,2,duiven,,loc,true,,,loc,herzele duiven
62,4188-783164,783164,4188-783164-paternotre,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""a paternotre""~5","https://www.googleapis.com/books/v1/volumes?q=""a.+paternotre""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,a. paternotre,2,paternotre,,per,true,false,,per,a. paternotre
63,4249-784034,784034,4249-784034-azem,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""azem""~5","https://www.googleapis.com/books/v1/volumes?q=""azem""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,azem,1,azem,,per_loc,true,false,,per_loc,azem
64,4257-784214,784214,,,,,,,,,,,pillage,1,,,,,,,,pillage
65,4342-787499,787499,4342-787499-ronveaux léon,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""leon ronveaux""~5","https://www.googleapis.com/books/v1/volumes?q=""ronveaux+l%C3%A9on""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,,,,,,,ronveaux léon,2,ronveaux léon,,per,true,true,,per,ronveaux léon
66,4426-791068,791068,4426-791068-nauwelaers,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""duffel nauwelaers""~5","https://www.googleapis.com/books/v1/volumes?q=""nauwelaers+duffel""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,nauwelaers duffel,2,nauwelaers,,per,true,false,,per,nauwelaers duffel
67,4426-791068,791068,4426-791068-duffel,,,,,Commune,,,,Belgium,nauwelaers duffel,2,duffel,true,loc,true,,,loc,nauwelaers duffel
68,4456-792058,792058,4456-792058-kurth,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""kurth""~5","https://www.googleapis.com/books/v1/volumes?q=""kurth""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,kurth,1,kurth,,per,true,false,,per,kurth
69,4473-793089,793089,,,,,,,,,,,autant en emporte le vent,5,,,,,,,,autant en emporte le vent
70,4527-795470,795470,4527-795470-quaregnon,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""quaregnon""~5","https://www.googleapis.com/books/v1/volumes?q=""quaregnon""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Quaregnon,Commune,Quaregnon,Hainaut Province,Wallonia,Belgium,quaregnon,1,quaregnon,true,loc,true,,,loc,quaregnon
71,4612-799374,799374,4612-799374-tielemans,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""laarne tielemans""~5","https://www.googleapis.com/books/v1/volumes?q=""tielemans+laarne""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,tielemans laarne,2,tielemans,,per,true,false,,per,tielemans laarne
72,4612-799374,799374,4612-799374-laarne,,,,,Commune,,,,Belgium,tielemans laarne,2,laarne,true,loc,true,,,loc,tielemans laarne
73,4713-803670,803670,4713-803670-cava tirreni,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""cava tirreni""~5","https://www.googleapis.com/books/v1/volumes?q=""cava+tirreni""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,,,,,,Italy,cava tirreni,2,cava tirreni,,loc,true,false,false,loc,cava tirreni
74,4752-805839,805839,4752-805839-lode tallon,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""lode tallon""~5","https://www.googleapis.com/books/v1/volumes?q=""lode+tallon""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,,,,,,,lode tallon,2,lode tallon,,per,true,true,,per,lode tallon
75,4772-806204,806204,4772-806204-verrebroeck,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""verrebroeck""~5","https://www.googleapis.com/books/v1/volumes?q=""verrebroeck""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Verrebroek,Section,Beveren,East Flanders Province,Flanders,Belgium,verrebroeck,1,verrebroeck,,loc,true,,,loc,verrebroeck
76,4826-807658,807658,4826-807658-frantz wittouck,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""frantz wittouck""~5","https://www.googleapis.com/books/v1/volumes?q=""frantz+wittouck""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,,,,,,,frantz wittouck,2,frantz wittouck,,per,true,true,,per,frantz wittouck
77,4908-809880,809880,4908-809880-namur,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""namur""~5","https://www.googleapis.com/books/v1/volumes?q=""namur""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Namur,Commune,Namur,Namur Province,Wallonia,Belgium,namur,1,namur,true,loc,true,,,loc,namur
78,4996-813687,813687,,,,,,,,,,,schelvis sterf,2,,,,,,,,schelvis sterf
79,5013-814391,814391,,,,,,,,,,,hockey,1,,,,,,,,hockey
80,5228-823575,823575,,,,,,,,,,,vingtième siècle,2,,,,,,,,vingtième siècle
81,5275-825637,825637,,,,,,,,,,,diables rouges football coupe monde,5,,,,,,,,diables rouges football coupe monde
82,5451-830608,830608,5451-830608-hyfte,,,false,,,,,,,hyfte mariakerke,2,hyfte,,per,true,false,,per,hyfte mariakerke
83,5451-830608,830608,5451-830608-mariakerke,,,,,Section,,,,Belgium,,,mariakerke,false,loc,,,,loc,hyfte mariakerke
84,5532-833305,833305,5532-833305-verweyen,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""verweyen""~5","https://www.googleapis.com/books/v1/volumes?q=""verweyen""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,verweyen,1,verweyen,,per,true,false,,per,verweyen
85,5621-835005,835005,,,,,,,,,,,winter varietes,2,,,,,,,,winter varietes
86,5723-838041,838041,,,,,,,,,,,emois,1,,,,,,,,emois
87,5838-842762,842762,5838-842762-haas,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""damm haas jette""~5","https://www.googleapis.com/books/v1/volumes?q=""damm+haas+jette""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,damm haas jette,3,haas,,per,true,false,,per,damm haas jette
88,5838-842762,842762,5838-842762-jette,,,,,Commune,,,,Belgium,damm haas jette,3,jette,false,loc,true,,,loc,damm haas jette
89,5862-842849,842849,5862-842849-boutelkin,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""boutelkin""~5","https://www.googleapis.com/books/v1/volumes?q=""boutelkin""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,boutelkin,1,boutelkin,,per_ambig,true,false,,per_ambig,boutelkin
90,5863-842849,842849,5863-842849-boutelkine,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""boutelkine""~5","https://www.googleapis.com/books/v1/volumes?q=""boutelkine""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,boutelkine,1,boutelkine,,per_ambig,true,false,,per_ambig,boutelkine
91,6139-850957,850957,,,,,,,,,,,sucrerie,1,,,,,,,,sucrerie
