,Column,unique_id_query,visit_id,unique_id_match,wikipedia_link_nl,google_book_query,nom_complet,toponymName,fclName,commune,province,region,country,query_normalised,queries_ngrams,MATCH,equality_match_extract_geonames,types_Anne,equality_anne_ettore,nom_complet?,nom_complet_ailleurs?,types_Ettore,queries,extract_geonames,extract_persons,wikidata_loc,json_geonames
319,319,24188-1419744,1419744,,,,,,,,,,,centrale belge,2.0,,,,,,,,centrale belge,,,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
320,320,24209-1419902,1419902,24209-1419902-ceysens jules,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""ceysens jules""~5","https://www.googleapis.com/books/v1/volumes?q=""ceysens+jules""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",True,,,,,,,ceysens jules,2.0,ceysens jules,,per,True,True,,per,ceysens jules,,jules ceysens,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
321,321,24229-1420305,1420305,24229-1420305-derville,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""couillet derville""~5","https://www.googleapis.com/books/v1/volumes?q=""derville+couillet""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,derville couillet,2.0,derville,,per,True,False,,per,derville couillet,couillet,,"Couillet||||http://www.wikidata.org/entity/Q573179section de Charleroi, Belgique","{'totalResultsCount': 1, 'geonames': [{'timezone': {'gmtOffset': 1, 'timeZoneId': 'Europe/Brussels', 'dstOffset': 2}, 'bbox': {'east': 4.4731854105274245, 'south': 50.38239946706897, 'north': 50.40038676457183, 'west': 4.444966444941336, 'accuracyLevel': 1}, 'asciiName': 'Couillet', 'countryId': '2802361', 'fcl': 'P', 'score': 46.217838287353516, 'adminId2': '2796741', 'adminId3': '2800480', 'countryCode': 'BE', 'adminId4': '2800482', 'adminId1': '3337387', 'lat': '50.39139', 'fcode': 'PPL', 'continentCode': 'EU', 'adminCode2': 'WHT', 'adminCode3': '52', 'adminCode1': 'WAL', 'lng': '4.45908', 'geonameId': 2800073, 'toponymName': 'Couillet', 'adminCode4': '52011', 'population': 0, 'adminName5': '', 'adminName4': 'Charleroi', 'adminName3': 'Arrondissement de Charleroi', 'alternateNames': [{'name': 'http://en.wikipedia.org/wiki/Couillet%2C_Belgium', 'lang': 'link'}, {'name': '6010', 'lang': 'post'}, {'name': 'COU', 'lang': 'unlc'}], 'adminName2': 'Hainaut Province', 'name': 'Couillet', 'fclName': 'city, village,...', 'countryName': 'Belgium', 'fcodeName': 'populated place', 'adminName1': 'Wallonia'}]}"
322,322,24229-1420305,1420305,24229-1420305-couillet,,,,,Section,,,,Belgium,derville couillet,2.0,couillet,True,loc,True,,,loc,derville couillet,couillet,,"Couillet||||http://www.wikidata.org/entity/Q573179section de Charleroi, Belgique","{'totalResultsCount': 1, 'geonames': [{'timezone': {'gmtOffset': 1, 'timeZoneId': 'Europe/Brussels', 'dstOffset': 2}, 'bbox': {'east': 4.4731854105274245, 'south': 50.38239946706897, 'north': 50.40038676457183, 'west': 4.444966444941336, 'accuracyLevel': 1}, 'asciiName': 'Couillet', 'countryId': '2802361', 'fcl': 'P', 'score': 46.217838287353516, 'adminId2': '2796741', 'adminId3': '2800480', 'countryCode': 'BE', 'adminId4': '2800482', 'adminId1': '3337387', 'lat': '50.39139', 'fcode': 'PPL', 'continentCode': 'EU', 'adminCode2': 'WHT', 'adminCode3': '52', 'adminCode1': 'WAL', 'lng': '4.45908', 'geonameId': 2800073, 'toponymName': 'Couillet', 'adminCode4': '52011', 'population': 0, 'adminName5': '', 'adminName4': 'Charleroi', 'adminName3': 'Arrondissement de Charleroi', 'alternateNames': [{'name': 'http://en.wikipedia.org/wiki/Couillet%2C_Belgium', 'lang': 'link'}, {'name': '6010', 'lang': 'post'}, {'name': 'COU', 'lang': 'unlc'}], 'adminName2': 'Hainaut Province', 'name': 'Couillet', 'fclName': 'city, village,...', 'countryName': 'Belgium', 'fcodeName': 'populated place', 'adminName1': 'Wallonia'}]}"
323,323,24317-1421934,1421934,,,,,,,,,,,convient espèce,2.0,,,,,,,,convient espèce,,,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
324,324,24495-1426246,1426246,24495-1426246-wietersheim,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""wietersheim""~5","https://www.googleapis.com/books/v1/volumes?q=""wietersheim""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,Germany,wietersheim,1.0,wietersheim,,loc,True,,,loc,wietersheim,,,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
325,325,24622-1430906,1430906,24622-1430906-jerry darnelle,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""darnelle jerry""~5","https://www.googleapis.com/books/v1/volumes?q=""jerry+darnelle""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",True,,,,,,,jerry darnelle,2.0,jerry darnelle,,per,True,True,,per,jerry darnelle,,jerry darnelle,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
326,326,24634-1431405,1431405,,,,,,,,,,,rabbin israélite synagogue,3.0,,,,,,,,rabbin israélite synagogue,,,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
327,327,24670-1432845,1432845,,,,,,,,,,,d,1.0,,,,,,,,,,,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
328,328,24702-1434592,1434592,24702-1434592-guignies,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""guignies""~5","https://www.googleapis.com/books/v1/volumes?q=""guignies""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Guignies,Section,Celles,Hainaut Province,Wallonia,Belgium,guignies,1.0,guignies,True,loc,True,,,loc,guignies,guignies,,"Guignies||||http://www.wikidata.org/entity/Q2538240section de Brunehaut, Belgique","{'totalResultsCount': 1, 'geonames': [{'timezone': {'gmtOffset': 1, 'timeZoneId': 'Europe/Brussels', 'dstOffset': 2}, 'bbox': {'east': 3.3843982651463005, 'south': 50.538861351248244, 'north': 50.55684864875175, 'west': 3.3560857348537, 'accuracyLevel': 1}, 'asciiName': 'Guignies', 'countryId': '2802361', 'fcl': 'P', 'score': 31.803611755371094, 'adminId2': '2796741', 'adminId3': '2785340', 'countryCode': 'BE', 'adminId4': '2800608', 'adminId1': '3337387', 'lat': '50.54785', 'fcode': 'PPL', 'continentCode': 'EU', 'adminCode2': 'WHT', 'adminCode3': '57', 'adminCode1': 'WAL', 'lng': '3.37024', 'geonameId': 2796864, 'toponymName': 'Guignies', 'adminCode4': '57018', 'population': 0, 'adminName5': '', 'adminName4': 'Celles', 'adminName3': 'Arrondissement de Tournai', 'alternateNames': [{'name': '7620', 'lang': 'post'}], 'adminName2': 'Hainaut Province', 'name': 'Guignies', 'fclName': 'city, village,...', 'countryName': 'Belgium', 'fcodeName': 'populated place', 'adminName1': 'Wallonia'}]}"
329,329,24762-1436103,1436103,,,,,,,,,,,mafia,1.0,,,,,,,,mafia,,,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
330,330,24836-1438334,1438334,24836-1438334-alberic dons,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""alberic dons""~5","https://www.googleapis.com/books/v1/volumes?q=""alberic+dons""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",True,,,,,,,alberic dons,2.0,alberic dons,,per,True,True,,per,alberic dons,,alberic dons,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
331,331,24939-1439726,1439726,24939-1439726-edouard agneessens,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""agneessens edouard""~5","https://www.googleapis.com/books/v1/volumes?q=""edouard+agneessens""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",True,,,,,,,edouard agneessens,2.0,edouard agneessens,,per,True,True,,per,edouard agneessens,,edouard agneessens,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
332,332,24960-1440475,1440475,24960-1440475-eulenburg,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""eulenburg""~5","https://www.googleapis.com/books/v1/volumes?q=""eulenburg""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,eulenburg,1.0,eulenburg,,per,True,False,,per,eulenburg,,,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
333,333,24970-1440840,1440840,,,,,,,,,,,évadés,1.0,,,,,,,,évadés,,,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
334,334,25345-1457549,1457549,25345-1457549-cedergren,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""cedergren""~5","https://www.googleapis.com/books/v1/volumes?q=""cedergren%2C""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,"cedergren,",1.0,cedergren,,per,True,False,,per,"cedergren,",,,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
335,335,25362-1457729,1457729,,,,,,,,,,,cinema,1.0,,,,,,,,cinema,,,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
336,336,25451-1461475,1461475,,,,,,,,,,,anesthesie,1.0,,,,,,,,anesthesie,,,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
337,337,25504-1462880,1462880,,,,,,,,,,,vitamin,1.0,,,,,,,,vitamin,,,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
338,338,25531-1463643,1463643,25531-1463643-negri belloni,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""belloni negri""~5","https://www.googleapis.com/books/v1/volumes?q=""negri+belloni""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",True,,,,,,,negri belloni,2.0,negri belloni,,per,True,False,,per,negri belloni,,,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
339,339,25561-1463985,1463985,25561-1463985-jacob salomon,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""jacob salomon""~5","https://www.googleapis.com/books/v1/volumes?q=""jacob+salomon""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",True,,,,,,,jacob salomon,2.0,jacob salomon,,per,True,True,,per,jacob salomon,,jacob salomon,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
340,340,25564-1463985,1463985,25564-1463985-simon rosenthal,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""rosenthal simon""~5","https://www.googleapis.com/books/v1/volumes?q=""simon+rosenthal""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",True,,,,,,,simon rosenthal,2.0,simon rosenthal,,per,True,True,,per,simon rosenthal,,simon rosenthal,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
341,341,25638-1465505,1465505,25638-1465505-huysmans,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""huysmans paardenmarkt""~5","https://www.googleapis.com/books/v1/volumes?q=""huysmans+paardenmarkt""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,huysmans paardenmarkt,2.0,huysmans,,per,True,False,,per,huysmans paardenmarkt,paardenmarkt,,None,"{'totalResultsCount': 2, 'geonames': [{'adminCode1': 'VLG', 'lng': '3.27095', 'geonameId': 2789385, 'timezone': {'gmtOffset': 1, 'timeZoneId': 'Europe/Brussels', 'dstOffset': 2}, 'toponymName': 'Paardenmarkt', 'asciiName': 'Paardenmarkt', 'countryId': '2802361', 'fcl': 'H', 'population': 0, 'adminName5': '', 'adminName4': '', 'score': 23.500812530517578, 'adminName3': '', 'adminName2': '', 'countryCode': 'BE', 'name': 'Paardenmarkt', 'fclName': 'stream, lake, ...', 'countryName': 'Belgium', 'fcodeName': 'shoal(s)', 'adminId1': '3337388', 'adminName1': 'Flanders', 'lat': '51.35973', 'fcode': 'SHOL', 'continentCode': 'EU'}]}"
342,342,25674-1466669,1466669,25674-1466669-verschaffelt,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""verschaffelt""~5","https://www.googleapis.com/books/v1/volumes?q=""verschaffelt""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,verschaffelt,1.0,verschaffelt,,per,True,False,,per,verschaffelt,,,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
343,343,25939-1478406,1478406,25939-1478406-smet,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""eglise smet tamise""~5","https://www.googleapis.com/books/v1/volumes?q=""smet+tamise+eglise""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,smet tamise eglise,3.0,smet,,per,True,False,,per,smet tamise eglise,tamise,,"Tamise||||http://www.wikidata.org/entity/Q823623commune de Flandre orientale, Belgique","{'totalResultsCount': 43, 'geonames': [{'timezone': {'gmtOffset': 1, 'timeZoneId': 'Europe/Brussels', 'dstOffset': 2}, 'bbox': {'east': 4.246568193448303, 'south': 51.10733096191137, 'north': 51.14854503808863, 'west': 4.1808678065516975, 'accuracyLevel': 2}, 'asciiName': 'Temse', 'countryId': '2802361', 'fcl': 'P', 'score': 51.90269088745117, 'adminId2': '2789733', 'adminId3': '2786577', 'countryCode': 'BE', 'adminId4': '2785779', 'adminId1': '3337388', 'lat': '51.12794', 'fcode': 'PPL', 'continentCode': 'EU', 'adminCode2': 'VOV', 'adminCode3': '46', 'adminCode1': 'VLG', 'lng': '4.21372', 'geonameId': 2785778, 'toponymName': 'Temse', 'adminCode4': '46025', 'population': 26054, 'adminName5': '', 'adminName4': 'Temse', 'adminName3': 'Arrondissement Sint-Niklaas', 'alternateNames': [{'name': 'Темсе', 'lang': 'bg'}, {'name': 'تامس', 'lang': 'fa'}, {'name': 'http://en.wikipedia.org/wiki/Temse', 'lang': 'link'}, {'name': '9140', 'lang': 'post'}, {'name': 'Темсе', 'lang': 'ru'}, {'name': 'TSE', 'lang': 'unlc'}, {'name': '特姆塞', 'lang': 'zh'}], 'adminName2': 'East Flanders Province', 'name': 'Temse', 'fclName': 'city, village,...', 'countryName': 'Belgium', 'fcodeName': 'populated place', 'adminName1': 'Flanders'}]}"
344,344,25939-1478406,1478406,25939-1478406-tamise,,,,,Commune,,,,Belgium,smet tamise eglise,3.0,tamise,True,loc,True,,,loc,smet tamise eglise,tamise,,"Tamise||||http://www.wikidata.org/entity/Q823623commune de Flandre orientale, Belgique","{'totalResultsCount': 43, 'geonames': [{'timezone': {'gmtOffset': 1, 'timeZoneId': 'Europe/Brussels', 'dstOffset': 2}, 'bbox': {'east': 4.246568193448303, 'south': 51.10733096191137, 'north': 51.14854503808863, 'west': 4.1808678065516975, 'accuracyLevel': 2}, 'asciiName': 'Temse', 'countryId': '2802361', 'fcl': 'P', 'score': 51.90269088745117, 'adminId2': '2789733', 'adminId3': '2786577', 'countryCode': 'BE', 'adminId4': '2785779', 'adminId1': '3337388', 'lat': '51.12794', 'fcode': 'PPL', 'continentCode': 'EU', 'adminCode2': 'VOV', 'adminCode3': '46', 'adminCode1': 'VLG', 'lng': '4.21372', 'geonameId': 2785778, 'toponymName': 'Temse', 'adminCode4': '46025', 'population': 26054, 'adminName5': '', 'adminName4': 'Temse', 'adminName3': 'Arrondissement Sint-Niklaas', 'alternateNames': [{'name': 'Темсе', 'lang': 'bg'}, {'name': 'تامس', 'lang': 'fa'}, {'name': 'http://en.wikipedia.org/wiki/Temse', 'lang': 'link'}, {'name': '9140', 'lang': 'post'}, {'name': 'Темсе', 'lang': 'ru'}, {'name': 'TSE', 'lang': 'unlc'}, {'name': '特姆塞', 'lang': 'zh'}], 'adminName2': 'East Flanders Province', 'name': 'Temse', 'fclName': 'city, village,...', 'countryName': 'Belgium', 'fcodeName': 'populated place', 'adminName1': 'Flanders'}]}"
345,345,26021-1480093,1480093,26021-1480093-seloignes,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""de gare seloignes""~5","https://www.googleapis.com/books/v1/volumes?q=""gare+de+seloignes""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Seloignes,Section,Momignies,Hainaut Province,Wallonia,Belgium,gare de seloignes,3.0,seloignes,True,loc,True,,,loc,gare de seloignes,seloignes,,"Seloignes||||http://www.wikidata.org/entity/Q2656107section de Momignies, Belgique","{'totalResultsCount': 3, 'geonames': [{'timezone': {'gmtOffset': 1, 'timeZoneId': 'Europe/Brussels', 'dstOffset': 2}, 'asciiName': 'Etang de Seloignes', 'countryId': '2802361', 'fcl': 'H', 'score': 33.41530227661133, 'adminId2': '2796741', 'countryCode': 'BE', 'adminId1': '3337387', 'lat': '50.01667', 'fcode': 'LK', 'continentCode': 'EU', 'adminCode2': 'WHT', 'adminCode1': 'WAL', 'lng': '4.28333', 'geonameId': 2786865, 'toponymName': 'Étang de Séloignes', 'population': 0, 'adminName5': '', 'adminName4': '', 'adminName3': '', 'adminName2': 'Hainaut Province', 'name': 'Étang de Séloignes', 'fclName': 'stream, lake, ...', 'countryName': 'Belgium', 'fcodeName': 'lake', 'adminName1': 'Wallonia'}]}"
346,346,26080-1481244,1481244,26080-1481244-lommel,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""lommel""~5","https://www.googleapis.com/books/v1/volumes?q=""lommel""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Lommel,Commune,Lommel,Limburg Province,Flanders,Belgium,lommel,1.0,lommel,True,loc,True,,,loc,lommel,lommel,,"Lommel||||http://www.wikidata.org/entity/Q194366ville du Limbourg, Belgique","{'totalResultsCount': 21, 'geonames': [{'timezone': {'gmtOffset': 1, 'timeZoneId': 'Europe/Brussels', 'dstOffset': 2}, 'bbox': {'east': 5.350126827549852, 'south': 51.20780560475904, 'north': 51.25366439524097, 'west': 5.276855172450148, 'accuracyLevel': 2}, 'asciiName': 'Lommel', 'countryId': '2802361', 'fcl': 'P', 'score': 93.78964233398438, 'adminId2': '2792347', 'adminId3': '2791963', 'countryCode': 'BE', 'adminId4': '2792180', 'adminId1': '3337388', 'lat': '51.23074', 'fcode': 'PPL', 'continentCode': 'EU', 'adminCode2': 'VLI', 'adminCode3': '72', 'adminCode1': 'VLG', 'lng': '5.31349', 'geonameId': 2792179, 'toponymName': 'Lommel', 'adminCode4': '72020', 'population': 31993, 'adminName5': '', 'adminName4': 'Lommel', 'adminName3': 'Arrondissement of Maaseik', 'alternateNames': [{'name': 'لومل', 'lang': 'ar'}, {'name': 'Ломел', 'lang': 'bg'}, {'name': 'Lommel', 'lang': 'de'}, {'name': 'Lommel', 'lang': 'en'}, {'name': 'Lommel', 'lang': 'eo'}, {'name': 'لمل', 'lang': 'fa'}, {'name': 'Lommel', 'lang': 'fr'}, {'name': 'Ломмел', 'lang': 'kk'}, {'name': 'Lommel', 'lang': 'lb'}, {'name': 'Lommel', 'lang': 'li'}, {'name': 'http://en.wikipedia.org/wiki/Lommel', 'lang': 'link'}, {'name': 'Lomelis', 'lang': 'lt'}, {'name': 'Lommel', 'lang': 'nl'}, {'name': 'Lommel', 'lang': 'no'}, {'name': '3920', 'lang': 'post'}, {'name': 'Ломмел', 'lang': 'ru'}, {'name': 'Ломел', 'lang': 'sr'}, {'name': 'Lommel', 'lang': 'sv'}, {'name': 'โลมเมิล', 'lang': 'th'}, {'name': 'LML', 'lang': 'unlc'}, {'name': '洛默尔', 'lang': 'zh'}], 'adminName2': 'Limburg Province', 'name': 'Lommel', 'fclName': 'city, village,...', 'countryName': 'Belgium', 'fcodeName': 'populated place', 'adminName1': 'Flanders'}]}"
347,347,26144-1483122,1483122,,,,,,,,,,,der adler,2.0,,,,,,,,der adler,,,Belgique||||http://www.wikidata.org/entity/Q31État d'Europe occidentale,
348,348,26233-1485189,1485189,26233-1485189-bleharies,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""bleharies""~5","https://www.googleapis.com/books/v1/volumes?q=""bleharies""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Bléharies,Section,Celles,Hainaut Province,Wallonia,Belgium,bleharies,1.0,bleharies,True,loc,True,,,loc,bleharies,bleharies,,None,"{'totalResultsCount': 1, 'geonames': [{'timezone': {'gmtOffset': 1, 'timeZoneId': 'Europe/Brussels', 'dstOffset': 2}, 'bbox': {'east': 3.426657674389548, 'south': 50.50356235124857, 'north': 50.521549648751424, 'west': 3.398366325610452, 'accuracyLevel': 1}, 'asciiName': 'Bleharies', 'countryId': '2802361', 'fcl': 'P', 'score': 33.419288635253906, 'adminId2': '2796741', 'adminId3': '2785340', 'countryCode': 'BE', 'adminId4': '2800608', 'adminId1': '3337387', 'lat': '50.51256', 'fcode': 'PPL', 'continentCode': 'EU', 'adminCode2': 'WHT', 'adminCode3': '57', 'adminCode1': 'WAL', 'lng': '3.41251', 'geonameId': 2801818, 'toponymName': 'Bléharies', 'adminCode4': '57018', 'population': 0, 'adminName5': '', 'adminName4': 'Celles', 'adminName3': 'Arrondissement de Tournai', 'alternateNames': [{'name': '7620', 'lang': 'post'}, {'name': 'BHR', 'lang': 'unlc'}], 'adminName2': 'Hainaut Province', 'name': 'Bléharies', 'fclName': 'city, village,...', 'countryName': 'Belgium', 'fcodeName': 'populated place', 'adminName1': 'Wallonia'}]}"
349,349,26335-1487793,1487793,26335-1487793-cador,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""architecte cador charleroi""~5","https://www.googleapis.com/books/v1/volumes?q=""cador+charleroi+architecte""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",False,,,,,,,cador charleroi architecte,3.0,cador,,per,True,False,,per,cador charleroi architecte,charleroi,,"Charleroi||||http://www.wikidata.org/entity/Q81046ville du Hainaut, Belgique","{'totalResultsCount': 291, 'geonames': [{'timezone': {'gmtOffset': 1, 'timeZoneId': 'Europe/Brussels', 'dstOffset': 2}, 'bbox': {'east': 4.535511104265951, 'south': 50.35342435292287, 'north': 50.46929941134975, 'west': 4.353458317120768, 'accuracyLevel': 2}, 'asciiName': 'Charleroi', 'countryId': '2802361', 'fcl': 'P', 'score': 211.34121704101562, 'adminId2': '2796741', 'adminId3': '2800480', 'countryCode': 'BE', 'adminId4': '2800482', 'adminId1': '3337387', 'lat': '50.41136', 'fcode': 'PPL', 'continentCode': 'EU', 'adminCode2': 'WHT', 'adminCode3': '52', 'adminCode1': 'WAL', 'lng': '4.44448', 'geonameId': 2800481, 'toponymName': 'Charleroi', 'adminCode4': '52011', 'population': 200132, 'adminName5': '', 'adminName4': 'Charleroi', 'adminName3': 'Arrondissement de Charleroi', 'alternateNames': [{'name': 'Tchålerwè', 'lang': 'an'}, {'name': 'شارلوروا', 'lang': 'ar'}, {'name': 'Горад Шарлеруа', 'lang': 'be'}, {'name': 'Шарлероа', 'lang': 'bg'}, {'name': 'Charleroi', 'lang': 'cs'}, {'name': 'Charleroi', 'lang': 'de'}, {'name': 'Σαρλερουά', 'lang': 'el'}, {'name': 'Charleroi', 'lang': 'en'}, {'name': 'Charleroi', 'lang': 'eo'}, {'name': 'Charleroi', 'lang': 'es'}, {'name': 'Charleroi', 'lang': 'eu'}, {'name': 'شارلروآ', 'lang': 'fa'}, {'name': 'Charleroi', 'lang': 'fi'}, {'name': 'Charleroi', 'lang': 'fr'}, {'name': 'שרלרואה', 'lang': 'he'}, {'name': 'Շառլեռուա', 'lang': 'hy'}, {'name': 'Charleroi', 'lang': 'id'}, {'name': 'Charleroi', 'lang': 'it'}, {'name': 'シャルルロワ', 'lang': 'ja'}, {'name': 'შარლერუა', 'lang': 'ka'}, {'name': '샤를루아', 'lang': 'ko'}, {'name': 'Caroloregium', 'lang': 'la'}, {'name': 'Charleroi', 'lang': 'li'}, {'name': 'http://en.wikipedia.org/wiki/Charleroi', 'lang': 'link'}, {'name': 'Šarlerua', 'lang': 'lt'}, {'name': 'Šarlruā', 'lang': 'lv'}, {'name': 'Charleroi', 'lang': 'nl'}, {'name': 'Charleroi', 'lang': 'no'}, {'name': 'Шарлеруа', 'lang': 'os'}, {'name': 'Carleroé', 'lang': 'pcd'}, {'name': 'Charleroi', 'lang': 'pl'}, {'name': 'چارلیروئی', 'lang': 'pnb'}, {'name': '6000', 'lang': 'post'}, {'name': 'Charleroi', 'lang': 'pt'}, {'name': 'Charleroi', 'lang': 'ro'}, {'name': 'Шарлеруа', 'lang': 'ru'}, {'name': 'Шарлроа', 'lang': 'sr'}, {'name': 'Charleroi', 'lang': 'sv'}, {'name': 'ชาร์เลอรัว', 'lang': 'th'}, {'name': 'Шарлеруа', 'lang': 'uk'}, {'name': 'CRL', 'lang': 'unlc'}, {'name': 'Tchålerwè', 'lang': 'wa'}, {'name': '沙勒罗瓦', 'lang': 'zh'}], 'adminName2': 'Hainaut Province', 'name': 'Charleroi', 'fclName': 'city, village,...', 'countryName': 'Belgium', 'fcodeName': 'populated place', 'adminName1': 'Wallonia'}]}"
