Nom De La Commune,Qid,wiki_unified,page_id,page_length,extract,localisation administrative,name_wikidata,geonameId,adminName4,adminName2,toponymName,Code Postal Ancien,Code Postal Actuel,Code Ins
Ambly,Ambly,https://fr.wikipedia.org/wiki/Ambly,231516,2859,"Ambly (en wallon Ambli) est une section de la commune belge de Nassogne située en Région wallonne dans la province de Luxembourg.
C'était une commune à part entière avant la fusion des communes de 1977. Elle fut alors transférée de la province de Namur à celle de Luxembourg.",Nassogne,Ambly,2803238,Nassogne,Luxembourg,Ambly,6941,6953,91004
Ambresin,Ambresin,https://fr.wikipedia.org/wiki/Ambresin,991946,2280,Ambresin (en wallon Anmzin) est une section de la commune belge de Wasseiges située en Région wallonne dans la province de Liège. C'était une commune à part entière avant la fusion des communes de 1977.,Wasseiges,Ambresin,2803236,Wasseiges,Liège,Ambresin,5072,4219,64003
AMEL,Amblève,https://fr.wikipedia.org/wiki/Amblève (commune),206865,6991,"Amblève (en allemand Amel et en wallon Ambleve) est une commune et une localité belge située dans la province de Liège, en Région wallonne.
Elle fait partie de la Communauté germanophone de Belgique et constitue de ce fait l'une des 9 communes de langue allemande de Belgique.

",arrondissement administratif de Verviers,Amblève,2803242,Amblève,Liège,Amblève,4774,4770,63001
Amonines,Amonines,https://fr.wikipedia.org/wiki/Amonines,1038627,2506,Amonines (en wallon Monene) est une section de la commune belge d'Érezée située en Région wallonne dans la province de Luxembourg.,,Amonines,2803222,Érezée,Luxembourg,Amonines,5461,6997,83001
Amougies,Amougies,https://fr.wikipedia.org/wiki/Amougies,1591439,9324,"Amougies (en néerlandais non officiel Amengijs) est une section de la commune belge du Mont-de-l'Enclus, située en Région wallonne dans la province de Hainaut.
C'était une commune à part entière avant la fusion des communes de 1977. Les 1.073 habitants du village sont appelés Amougicien(ne)s. La densité de population est de 227 habitants au km². Amougies vient d’abord de Amelgijs, ensuite, de Amengijs, et enfin de Amougys.
Du 24 au 28 octobre 1969, la commune accueille le Festival Actuel, refusé à Paris, puis à Courtrai. Il s'agit du premier grand rassemblement pop et free jazz « français » ; s'y produisent notamment Ten Years After, Yes, Soft Machine, Pink Floyd et Frank Zappa.",Mont-de-l'Enclus,Amougies,2803220,Mont-de-l'Enclus,Hainaut,Amougies,7570,7750,57001
Ampsin,Ampsin,https://fr.wikipedia.org/wiki/Ampsin,681740,1409,"Ampsin (en wallon Amsin) est une section de la commune belge d'Amay, située en Région wallonne dans la province de Liège.
C'était une commune à part entière avant la fusion des communes de 1977.
Lieux-dits du village : Bende, Fawé, Hasquette, Henrotia, Hèye, Hutimont, Jouette, Loyable, Ry de Mer, Sart, Sartage, Taverne à Meuse, Thier Poncelet, Vinâve, Waloppe.",Amay,Ampsin,2803217,Amay,Liège,Ampsin,4148,4540,61004
ANDENNE,Andenne,https://fr.wikipedia.org/wiki/Andenne,80818,27188,Andenne (en wallon Andene) est une ville francophone de Belgique située en Région wallonne dans la province de Namur.,Namur,Andenne,2803204,Andenne,Namur,Andenne,5220,5300,92003
ANDERLECHT,Anderlecht,https://fr.wikipedia.org/wiki/Anderlecht,45509,51622,"Anderlecht [ɑ̃dəʁlɛkt] est l'une des 589 communes de Belgique et une des 19 communes de la Région de Bruxelles-Capitale. Comme toutes les communes de Bruxelles, elle est officiellement bilingue.
Le 1er mai 2017, elle comptait 118 785 habitants (8e commune la plus peuplée de Belgique) (59 050 hommes et 59 735 femmes), appelés Anderlechtois, pour une superficie de 17,74 km2 soit une densité de 6 695,89 habitants/km².
Elle est située dans le sud-ouest de l'agglomération bruxelloise et limitrophe aux communes de Bruxelles-ville, Dilbeek, Forest, Molenbeek-Saint-Jean, Leeuw-Saint-Pierre et Saint-Gilles.",arrondissement administratif de Bruxelles-Capitale,Anderlecht,2803201,Anderlecht,Bruxelles-Capitale,Anderlecht,1070,1070,21001
ANDERLUES,Anderlues,https://fr.wikipedia.org/wiki/Anderlues,227423,8449,"Anderlues /ɑ̃.dɛʁ.ly/ (en wallon Anderluwe) est une commune francophone de Belgique située en Région wallonne dans la province de Hainaut.
Au 1er juillet 2004, la population totale de cette commune est de 11 512 habitants, répartis sur 17,14 km². Anderlues est jumelée avec Gigondas, en France.",Hainaut,Anderlues,2803199,Anderlues,Hainaut,Anderlues,6500,6150,56001
Andrimont,Andrimont,https://fr.wikipedia.org/wiki/Andrimont (Dison),1038619,1242,"Andrimont est une section de la commune belge de Dison située en Région wallonne dans la province de Liège et avoisiné à la ville de Verviers, elle s'étend sur 954 hectares. Andrimont était une commune à part entière avant la fusion des communes de 1977.
Andrimont fut construit près l'antique route qui reliait Tongres à Trèves ou on découvert des tombes gallo-romaines. Avant 1798 Andrimont dépendait de la principauté de Liège et du marquisat de Franchimont. En 1322 la seigneurie appartenait à Godefroid sire d'Andrimont. L'actuel château d'Andrimont date du XVIIe siècle.
L'église Saint Laurent fut restaurée en 1606, mais la tour est antérieure. Andrimont devient paroisse en 1730.",Dison,Andrimont,2803187,Dison,Liège,Andrimont,4821,4821,63002
Angleur,Angleur,https://fr.wikipedia.org/wiki/Angleur,6759,7849,"Angleur est une section de la ville de Liège située en Région wallonne dans la province de Liège. La section est composée des quartiers d'Angleur, de Kinkempois et du Sart Tilman. Elle a une population de 10 347 habitants (2013). C'était une commune à part entière avant la fusion des communes de 1977.",Liège,Angleur,2803183,Liège,Liège,Angleur,4900,4031,62002
Angre,Angre,https://fr.wikipedia.org/wiki/Angre,1147973,4731,"Angre est une section de la commune belge de Honnelles, située en Région wallonne dans la province de Hainaut. C’était une commune à part entière avant la fusion des communes de 1977.
Le hameau est traversé par une rivière affluent de l’Escaut, la Grande Honnelle.",Honnelles,Angre,2803180,Honnelles,Hainaut,Angre,7391,7387,53001
Angreau,Angreau,https://fr.wikipedia.org/wiki/Angreau,1608765,2477,"Angreau est une section de la commune belge de Honnelles, située en Région wallonne dans la province de Hainaut.",Honnelles,Angreau,2803177,Honnelles,Hainaut,Angreau,7387,7387,53002
ANHÉE,Anhée,https://fr.wikipedia.org/wiki/Anhée,181745,8644,"Anhée [ɑ̃e] (en wallon Anhêye) est une commune francophone de Belgique située en Région wallonne dans la province de Namur.
Au 1er mars 2017, la population totale de cette commune était de 7 149 habitants, (3 516 hommes et 3 633 femmes). La superficie totale est de 65,92 km2 ce qui donne une densité de population de 108,45 habitants par km².",Namur,Anhée,2803174,Anhée,Namur,Anhée,5198,5537,91005
Anlier,Anlier,https://fr.wikipedia.org/wiki/Anlier (localité),295197,2090,Anlier (Aasler en luxembourgeois) est une section de la commune belge de Habay située en Région wallonne dans la province de Luxembourg.,Habay,Anlier,2803171,Habay,Luxembourg,Anlier,6721,6721,84001
Anloy,Anloy,https://fr.wikipedia.org/wiki/Anloy,899669,2034,Anloy (en wallon Anloe) est une section de la commune belge de Libin située en Région wallonne dans la province de Luxembourg.,Libin,Anloy,2803167,Libin,Luxembourg,Anloy,6912,6890,84002
Annevoie-Rouillon,Annevoie-Rouillon,https://fr.wikipedia.org/wiki/Annevoie-Rouillon,3498104,2470,"Annevoie-Rouillon (en wallon Annvoye) est une section de la commune belge d'Anhée située en Région wallonne dans la province de Namur.
C'était une commune à part entière avant la fusion des communes de 1977.

Annevoie est connue pour ses Jardins d'Annevoie imaginés par Charles-Alexis de Montpellier à la fin du XVIIIe siècle et qui combinent la rigueur du style français et la fantaisie du style anglais tout en utilisant la rivière du Rouillon pour composer avec le cours de celle-ci des jeux ou formes multiples,. Les visiteurs en transports en commun peuvent y accéder depuis la gare de Namur par la ligne 21 Namur - Maredsous.",Anhée,Annevoie-Rouillon,2803162,Anhée,Namur,Annevoie-Rouillon,5181,5537,91006
ANS,Ans,https://fr.wikipedia.org/wiki/Ans,80821,9666,"Ans (en wallon Anse) est une commune francophone de Belgique située en Région wallonne dans la province de Liège.
Le siège de l'Union royale belge de handball y est basé.",Liège,Ans,2803160,Ans,Liège,Ans,4300,4430,62003
Anseremme,Anseremme,https://fr.wikipedia.org/wiki/Anseremme,897655,2389,"Anseremme (en wallon Ansreme) est une section de la ville belge de Dinant située en Région wallonne dans la province de Namur. Dans ce village on peut faire du kayak. Le Viaduc Charlemagne est entre Dinant et Anseremme.
C'était une commune à part entière avant la fusion des communes de 1964.",Dinant,Anseremme,2803157,Dinant,Namur,Anseremme,5500,5500,91007
Anserœul,Anserœul,https://fr.wikipedia.org/wiki/Anserœul,1591446,1145,"Anserœul est une section de la commune belge du Mont-de-l'Enclus, située en Région wallonne dans la province de Hainaut.
C'était une commune à part entière avant la fusion des communes de 1977.
 Portail du Hainaut",Mont-de-l'Enclus,Anseroeul,2803155,,,,7562,7750,57002
Anthée,Anthée,https://fr.wikipedia.org/wiki/Anthée (Belgique),340333,7628,"Anthée (en wallon Antêye) est un village de l'Entre-Sambre-et-Meuse, en Belgique, sur la route de Dinant à Philippeville. Traversé par le Flavion le village fait aujourd'hui administrativement partie de la commune d'Onhaye, dans la province de Namur, en Région wallonne de Belgique. C'était une commune à part entière avant la fusion des communes de 1977.",Onhaye,Anthée,2803152,Onhaye,Namur,Anthée,5520,5520,93002
Antheit,Antheit,https://fr.wikipedia.org/wiki/Antheit,1064133,8451,"Antheit (en wallon Ontè) est une section de la commune belge de Wanze située en Région wallonne dans la province de Liège.
C'était une commune à part entière avant la fusion des communes de 1977.
Aux origines, le village dépendait du comté de Moha et de la Cour de Justice de Wanze. Il fut donné en 1225 à l'Evêque de Liège.
L'extraction de l'alun a débuté en 1269 et ce, jusqu'au XVIIIe. On y a exploité également la houille (XIIIIe) et le Zinc (XIXe).
Antheit fut le siège de nombreuses entreprises horticoles (Ets Gonthier, Ets Auguste Dony...). On y a aussi cultivé la vigne du IXe au XVIIe siècle.
Deux écoles primaires sont implantées dans le village: une catholique (St Martin) et l'autre communale (Espace Scolaire Jean Bourgeois)
Le chanteur Frédéric François réside dans le village.

",Wanze,Antheit,2803150,Wanze,Liège,Antheit,5250,4520,61005
Anthisnes,Anthisnes,https://fr.wikipedia.org/wiki/Anthisnes,220425,8160,"Anthisnes [ɑ̃tin] (en wallon Antene) est une commune francophone de Belgique située en Région wallonne dans la province de Liège, à 25 km au sud-ouest de Liège.",Liège,Anthisnes,2803148,Anthisnes,Liège,Anthisnes,4160,4160,62004
ANTHISNES,Anthisnes,https://fr.wikipedia.org/wiki/Anthisnes,220425,8160,"Anthisnes [ɑ̃tin] (en wallon Antene) est une commune francophone de Belgique située en Région wallonne dans la province de Liège, à 25 km au sud-ouest de Liège.",Liège,Anthisnes,2803148,Anthisnes,Liège,Anthisnes,4160,4160,61079
ANTOING,Antoing,https://fr.wikipedia.org/wiki/Antoing,227426,16794,Antoing est une ville francophone de Belgique située en Région wallonne dans la province de Hainaut.,arrondissement administratif de Tournai,Antoing,2803144,Antoing,Hainaut,Antoing,7640,7640,57003
ANTWERPEN,Anvers,https://fr.wikipedia.org/wiki/Anvers,156,69879,"Anvers (prononcé /ɑ̃.vɛʁs/ ou /ɑ̃.vɛʁ/, en néerlandais : Antwerpen) est une ville belge dans la Région flamande, chef-lieu de la province d'Anvers et de l'arrondissement administratif du même nom, située au cœur de la Dorsale européenne.
Au 1er avril 2017, la commune d’Anvers était la plus peuplée de Belgique, devant Gand et Charleroi, avec 521 216 habitants, 259 740 hommes et 261 476 femmes, soit une densité de 1 270,06 habitants/km². L’agglomération anversoise compte, elle, 1 250 000 habitants. C'est la deuxième plus peuplée de Belgique, après Bruxelles. C'est également la deuxième commune et ville de Belgique pour ce qui est de la superficie, avec 204,51 km2, juste après Tournai.
Archétype de la ville bourgeoise-marchande depuis le Bas Moyen-Âge elle constitue alors, selon Fernand Braudel, le centre du commerce international et de la haute finance tout au long du XVIe siècle. Anvers abrite le plus vieux et unique gratte-ciel d'Europe jusqu'en 1949, la Boerentoren, et dispute à Venise l'invention de la comptabilité en partie double. Anvers est connue pour abriter les plus prestigieux diamantaires de la Planète, avec Londres et Amsterdam, ainsi que la plus importante bourse de diamants de la Planète, la Antwerpsche Diamantkring. Elle abrite également une grande concentration d'établissements d'audit et consulting. Enfin, le Port d'Anvers (deuxième port commercial d'Europe en termes d'activités et de tonnage, après celui voisin de Rotterdam) joue un rôle majeur dans la mondialisation des activités économiques européennes.
Les codes postaux vont de 2000 à 2600 à l’intérieur du district de la ville d’Anvers, située principalement sur la rive droite de l’Escaut et connue pour son port international de marchandises extrêmement développé, aujourd'hui le deuxième plus grand d'Europe en terme de volume de marchandises.
Les Anversois sont aussi appelés les Sinjoren, de l’espagnol señor, héritage de l'époque où elle faisait partie de l'Empire hasbourgeois de Charles Quint. La ville est souvent appelée ’t Stad (« La Ville ») et parfois de koekenstad (« la Ville des biscuits ») par allusion aux koffiekoeken (biscuits recouverts d'un fin glaçage au café) d’Anvers, réputées dans toute la Belgique.",arrondissement administratif d'Anvers,Anvers,2803138,Province dAnvers,Anvers,Antwerpen,2000,2000,11002
Anvaing,Anvaing,https://fr.wikipedia.org/wiki/Anvaing,1051622,3460,"Anvaing (en picard Anvègn) est une section de la commune belge de Frasnes-lez-Anvaing située en Région wallonne dans la province de Hainaut.
C'était une commune à part entière avant la fusion des communes de 1977.",Frasnes-lez-Anvaing,Anvaing,2797979,Frasnes-lez-Anvaing,Hainaut,Frasnes-lez-Buissenal,7580,7910,51001
ANZEGEM,Anzegem,https://fr.wikipedia.org/wiki/Anzegem,581563,7358,Anzegem est une commune néerlandophone de Belgique située en Région flamande dans la province de Flandre-Occidentale.,Flandre-Occidentale,Anzegem,2803130,Anzegem,Flandre-Occidentale,Anzegem,8570,8570,34002
Appels,Appels,https://fr.wikipedia.org/wiki/Appels,3178925,1046,"Appels est une section de la ville belge de Termonde dans le Denderstreek située en Région flamande dans la province de Flandre-Orientale.
 Portail de la Flandre-Orientale",Termonde,Appels,2803122,Dendermonde,Flandre-Orientale,Appels,9330,9200,42001
Appelterre-Eichem,Appelterre-Eichem,https://fr.wikipedia.org/wiki/Appelterre-Eichem,1689243,1429,"Depuis 1977, Appelterre-Eichem est une section de la ville belge de Ninove dans le Denderstreek située en Région flamande dans la province de Flandre-Orientale.",Ninove,Appelterre-Eichem,2803119,Ninove,Flandre-Orientale,Appelterre-Eichem,9498,9400,41003
Arbre,Arbre,https://fr.wikipedia.org/wiki/Arbre (Ath),964137,8643,"Habitant=24
Arbre (en picard Arbe) est une ancienne commune de Belgique située en Région wallonne dans la province de Hainaut.
C'est maintenant une section de la ville d'Ath.",Ath,Arbre,2803111,Profondeville,Namur,Arbre,7811,7811,51002
