Column,unique_id_query,unique_id_match,wikipedia_link_fr,wikipedia_link_nl,google_book_query,nom_complet,ngram_match,wikidata_loc,recon_wikidata_loc,recon_wikidata_person,types,test_viaf,toponymName,fclName,commune,province,region,country,query_normalised,queries_ngrams,MATCH,types_Anne,equality_anne_ettore,nom_complet?,nom_complet_ailleurs?,comments_anne,comments_ettore,types_Ettore,queries,extract_geonames,extract_persons
25,1550-684323,1550-684323-atwerpen,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""atwerpen""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""atwerpen""~5","https://www.googleapis.com/books/v1/volumes?q=""atwerpen""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,1,atwerpen,Q12892,,loc,atwerpen,Antwerpen,Commune,Antwerpen,Antwerpen,Flanders,Belgium,atwerpen,1,atwerpen,loc,True,,,,,loc,atwerpen,,
26,1595-686387,1595-686387-gysegem,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""gysegem""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""gysegem""~5","https://www.googleapis.com/books/v1/volumes?q=""gysegem""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,gysegem,,,per,gysegem,,,,,,,gysegem,1,gysegem,per,True,False,,,,per,gysegem,gysegem,
27,1641-687149,1641-687149-marville,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""marville""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""marville""~5","https://www.googleapis.com/books/v1/volumes?q=""marville""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,1,marville,Q59176,,loc,marville,,,,,,France,marville,1,marville,per,True,False,,per vu les queries_visit,,per,marville,,
28,1771-690549,1771-690549-pelzer,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""pelzer""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""pelzer""~5","https://www.googleapis.com/books/v1/volumes?q=""pelzer""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,pelzer,Q1978255,,per_loc,pelzer,,,,,,,pelzer,1,pelzer,per_loc,True,False,,autres queries = per...,,per_loc,pelzer,,
29,1841-692698,1841-692698-jeanne romain,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""albert dassy jeanne romain""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""albert dassy jeanne romain""~5","https://www.googleapis.com/books/v1/volumes?q=""jeanne+romain+albert+dassy""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,2,jeanne romain,,,per,jeanne romain,,,,,,,jeanne romain albert dassy,4,jeanne romain,per,True,True,,,,per,jeanne romain albert dassy,,jeanne romain albert dassy
30,1841-692698,1841-692698-albert dassy,,,,,,,,,,,,,,,,,jeanne romain albert dassy,4,albert dassy,per,True,True,,,,per,jeanne romain albert dassy,,jeanne romain albert dassy
31,1869-693264,1869-693264-delovere,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""delovere""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""delovere""~5","https://www.googleapis.com/books/v1/volumes?q=""delovere""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,delovere,,,per,delovere,,,,,,,delovere,1,delovere,per,True,False,,,,per,delovere,,
32,1877-693668,,,,,,,,,,,,,,,,,,gazlicht kerk,2,,,,,,,,,gazlicht kerk,,
33,1993-697725,1993-697725-cordelois,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""cordelois""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""cordelois""~5","https://www.googleapis.com/books/v1/volumes?q=""cordelois""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,cordelois,,,ambig,cordelois,,,,,,,cordelois,1,cordelois,per,False,False,,,,ambig,cordelois,,
34,2005-697861,,,,,,,,,,,,,,,,,,yom-kipour,1,,,,,,,,,yom-kipour,,
35,2047-698434,2047-698434-cornil station,,,,,,,,,,,,,,,,,cornil station maison charleroi,4,cornil station,loc,True,False,false,ok,manifestement la gare de cornil. Autant annoter station aussi,loc,cornil station maison charleroi,charleroi,cornil station
36,2047-698434,2047-698434-charleroi,,,,,,,,,,,,,,,,,cornil station maison charleroi,4,charleroi,loc,True,False,false,,,loc,cornil station maison charleroi,charleroi,cornil station
37,2116-701067,2116-701067-libot,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""libot""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""libot""~5","https://www.googleapis.com/books/v1/volumes?q=""libot""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,libot,,,per,libot,,,,,,,libot,1,libot,per,True,False,,,,per,libot,,
38,2194-702815,2194-702815-isidoor,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""isidoor""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""isidoor""~5","https://www.googleapis.com/books/v1/volumes?q=""isidoor""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,isidoor,,,per,isidoor,,,,,,,isidoor,1,isidoor,per,True,False,,que prénom,,per,isidoor,,
39,2362-708006,2362-708006-peltier,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""peltier""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""peltier""~5","https://www.googleapis.com/books/v1/volumes?q=""peltier""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,peltier,,,per,peltier,,,,,,,peltier,1,peltier,per,True,False,,,,per,peltier,,
40,2372-708451,2372-708451-van glabbeek,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""glabbeek van""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""glabbeek van""~5","https://www.googleapis.com/books/v1/volumes?q=""van+glabbeek""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,2,van glabbeek,,,per,van glabbeek,,,,,,,van glabbeek,2,van glabbeek,per,True,False,false,,,per,van glabbeek,glabbeek,
41,2375-708628,2375-708628-dexter,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""dexter""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""dexter""~5","https://www.googleapis.com/books/v1/volumes?q=""dexter""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,dexter,,,per,dexter,,,,,,,dexter,1,dexter,per,True,False,,,,per,dexter,,
42,2546-714246,2546-714246-thonon xavier,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""thonon xavier""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""thonon xavier""~5","https://www.googleapis.com/books/v1/volumes?q=""thonon+xavier""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,2,thonon xavier,,,per,thonon xavier,,,,,,,thonon xavier,2,thonon xavier,per,True,True,,,,per,thonon xavier,,xavier thonon
43,2794-722945,2794-722945-charles lamquet,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""charles jambes lamquet""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""charles jambes lamquet""~5","https://www.googleapis.com/books/v1/volumes?q=""charles+lamquet+jambes""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,2,charles lamquet,,,per,charles lamquet,,,,,,,charles lamquet jambes,3,charles lamquet,per,True,True,,,,per,charles lamquet jambes,jambes,charles lamquet
44,2794-722945,2794-722945-jambes,,,,,,,,,,,,,,,,,charles lamquet jambes,3,jambes,loc,True,,,,,loc,charles lamquet jambes,jambes,charles lamquet
45,2832-725615,2832-725615-curer bell,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""bell curer""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""bell curer""~5","https://www.googleapis.com/books/v1/volumes?q=""curer+bell""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,2,curer bell,,,per,curer bell,,,,,,,curer bell,2,curer bell,per,True,True,,(nom de plume Charlotte Brontë),,per,curer bell,bell,bell curer
46,2910-728614,,,,,,,,,,,,,,,,,,komiks,1,,,,,,,,,komiks,,
47,3011-732733,,,,,,,,,,,,,,,,,,olympiade,1,,,,,,,,,olympiade,,
48,3099-735376,3099-735376-havré,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""abandonnes havre""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""abandonnes havre""~5","https://www.googleapis.com/books/v1/volumes?q=""havr%C3%A9+abandonn%C3%A9s""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,1,havré,Q2611889,,loc,havré,Havré,Section,Mons,Hainaut Province,Wallonia,Belgium,havré abandonnés,2,havré,loc,True,,,,,loc,havré abandonnés,havre,
49,3224-739491,,,,,,,,,,,,,,,,,,garde maritime,2,,,,,,,,,garde maritime,,
50,3258-740088,,,,,,,,,,,,,,,,,,brossel,1,,per,True,False,,,,per,brossel,,
51,3260-740248,3260-740248-liezele,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""liezele""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""liezele""~5","https://www.googleapis.com/books/v1/volumes?q=""liezele""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,1,liezele,Q2345340,,loc,liezele,Liezele,Section,Puurs,Antwerpen,Flanders,Belgium,liezele,1,liezele,loc,True,,,,,loc,liezele,liezele,
52,3388-746195,3388-746195-dhuy,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""dhuy""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""dhuy""~5","https://www.googleapis.com/books/v1/volumes?q=""dhuy""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,dhuy,Q2251413,,per_loc,dhuy,,,,,,,dhuy,1,dhuy,loc,True,,,cf http://uurl.kbr.be/1468513,ok,loc,dhuy,dhuy,
53,3540-752815,3540-752815-sohie,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""sohie""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""sohie""~5","https://www.googleapis.com/books/v1/volumes?q=""sohie""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,sohie,,,per,sohie,,,,,,,sohie,1,sohie,per,True,False,,,,per,sohie,,
54,3541-752964,3541-752964-sweron,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""sweron""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""sweron""~5","https://www.googleapis.com/books/v1/volumes?q=""sweron""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,sweron,,,per,sweron,,,,,,,sweron,1,sweron,per,True,False,,,,per,sweron,,
55,3848-769048,3848-769048-werbrouck,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""diamant werbrouck""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""diamant werbrouck""~5","https://www.googleapis.com/books/v1/volumes?q=""diamant+werbrouck""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,werbrouck,,,per,werbrouck,,,,,,,diamant werbrouck,2,werbrouck,per,True,False,,,,per,diamant werbrouck,,diamant werbrouck
56,3874-769793,,,,,,,,,,,,,,,,,,batima,1,,,,,,,,,batima,,
57,3958-772163,,,,,,,,,,,,,,,,,,la maitresse d,3,,,,,,,,,la maitresse d,,
58,4020-774704,4020-774704-jalhay,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""jalhay""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""jalhay""~5","https://www.googleapis.com/books/v1/volumes?q=""jalhay""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,1,jalhay,Q683634,,loc,jalhay,Jalhay,Commune,Jalhay,Liège Province,Wallonia,Belgium,jalhay,1,jalhay,loc,True,,,,,loc,jalhay,jalhay,
59,4031-775116,4031-775116-louis nieter,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""louis nieter""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""louis nieter""~5","https://www.googleapis.com/books/v1/volumes?q=""louis+nieter""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,2,louis nieter,,,per,louis nieter,,,,,,,louis nieter,2,louis nieter,per,True,True,,,,per,louis nieter,,louis nieter
60,4136-781498,4136-781498-herzele,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""duiven herzele""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""duiven herzele""~5","https://www.googleapis.com/books/v1/volumes?q=""herzele+duiven""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,1,herzele,Q587979,,loc,herzele,Herzele,Commune,Herzele,East Flanders Province,Flanders,Belgium,herzele duiven,2,herzele,loc,True,,,,,loc,herzele duiven,herzele,
61,4136-781498,4136-781498-duiven,,,,,,,,,,,,,,,,,herzele duiven,2,duiven,loc,True,,,,,loc,herzele duiven,herzele,
62,4188-783164,4188-783164-paternotre,"https://fr.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""a paternotre""~5","https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""a paternotre""~5","https://www.googleapis.com/books/v1/volumes?q=""a.+paternotre""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,1,paternotre,,,per,paternotre,,,,,,,a. paternotre,2,paternotre,per,True,False,,,,per,a. paternotre,,
