nom_original,wikidata_link,wikidata_id,wikidata_name,geonames_be_match,noms_unifie,wiki_unified,hist,p_wordlength_unified,wiki_nl,wiki_by_region,geschiedenis,p_wordlength_nl,lang_wiki_unified,extract,type,CP,Code Ins,ins_commune_centrale,Région,Province,commune_centrale,population_commune_centrale_2017
,,,,,Alstas,https://fr.wikipedia.org/wiki/Alost,,,,,,,,,,,41002,,,,,
,,,,,阿尔斯特,https://fr.wikipedia.org/wiki/Alost,,,,,,,,,,,41002,,,,,
,,,,,Alostum,https://fr.wikipedia.org/wiki/Alost,,,,,,,,,,,41002,,,,,
,,,,,الست,https://fr.wikipedia.org/wiki/Alost,,,,,,,,,,,41002,,,,,
,,,,,Աալստ,https://fr.wikipedia.org/wiki/Alost,,,,,,,,,,,41002,,,,,
,,,,,Alst,https://fr.wikipedia.org/wiki/Alost,,,,,,,,,,,41002,,,,,
,,,,,Άαλστ,https://fr.wikipedia.org/wiki/Alost,,,,,,,,,,,41002,,,,,
,,,,,アールスト,https://fr.wikipedia.org/wiki/Alost,,,,,,,,,,,41002,,,,,
,,,,,Aals,https://fr.wikipedia.org/wiki/Alost,,,,,,,,,,,41002,,,,,
,,,,,a er si te,https://fr.wikipedia.org/wiki/Alost,,,,,,,,,,,41002,,,,,
,,,,,alseuteu,https://fr.wikipedia.org/wiki/Alost,,,,,,,,,,,41002,,,,,
,,,,,Sint-Truiden (Aalst),https://fr.wikipedia.org/wiki/Alost,,,,,,,,,,,41002,,,,,
,,,,,Oalst,https://fr.wikipedia.org/wiki/Alost,,,,,,,,,,,41002,,,,,
,,,,,알스트,https://fr.wikipedia.org/wiki/Alost,,,,,,,,,,,41002,,,,,
,,,,,AALST,https://fr.wikipedia.org/wiki/Alost,,,,,,,,,,,41002,,,,,
Aalst (Limburg),Alost,Q2153073,Alost,Alost,alst,https://fr.wikipedia.org/wiki/Alost (Limbourg),,421,https://nl.wikipedia.org/wiki/Aalst_(Limburg),https://nl.wikipedia.org/wiki/Aalst_(Limburg),Geschiedenis,2021,fr,"Alost (Aalst en néerlandais) est une section de la ville belge de Saint-Trond située en Région flamande dans la province de Limbourg.

 Portail de la Belgique
 Portail de la Région flamande",Localité,3800,71001,71053,Flandre,Limbourg,Sint-Truiden,40169
,,,,,Alost,https://fr.wikipedia.org/wiki/Alost (Limbourg),,,,,,,,,,,71001,,,,,
,,,,,Алст,https://fr.wikipedia.org/wiki/Alost (Limbourg),,,,,,,,,,,71001,,,,,
,,,,,آلسٹ، بلجئیم,https://fr.wikipedia.org/wiki/Alost (Limbourg),,,,,,,,,,,71001,,,,,
,,,,,Aelst,https://fr.wikipedia.org/wiki/Alost (Limbourg),,,,,,,,,,,71001,,,,,
,,,,,arusuto,https://fr.wikipedia.org/wiki/Alost (Limbourg),,,,,,,,,,,71001,,,,,
,,,,,Aalst,https://fr.wikipedia.org/wiki/Alost (Limbourg),,,,,,,,,,,71001,,,,,
,,,,,Alstas,https://fr.wikipedia.org/wiki/Alost (Limbourg),,,,,,,,,,,71001,,,,,
,,,,,阿尔斯特,https://fr.wikipedia.org/wiki/Alost (Limbourg),,,,,,,,,,,71001,,,,,
,,,,,Alostum,https://fr.wikipedia.org/wiki/Alost (Limbourg),,,,,,,,,,,71001,,,,,
,,,,,الست,https://fr.wikipedia.org/wiki/Alost (Limbourg),,,,,,,,,,,71001,,,,,
,,,,,Աալստ,https://fr.wikipedia.org/wiki/Alost (Limbourg),,,,,,,,,,,71001,,,,,
,,,,,Aalst (Limburg),https://fr.wikipedia.org/wiki/Alost (Limbourg),,,,,,,,,,,71001,,,,,
,,,,,Alst,https://fr.wikipedia.org/wiki/Alost (Limbourg),,,,,,,,,,,71001,,,,,
,,,,,Άαλστ,https://fr.wikipedia.org/wiki/Alost (Limbourg),,,,,,,,,,,71001,,,,,
,,,,,アールスト,https://fr.wikipedia.org/wiki/Alost (Limbourg),,,,,,,,,,,71001,,,,,
,,,,,Aals,https://fr.wikipedia.org/wiki/Alost (Limbourg),,,,,,,,,,,71001,,,,,
,,,,,a er si te,https://fr.wikipedia.org/wiki/Alost (Limbourg),,,,,,,,,,,71001,,,,,
,,,,,alseuteu,https://fr.wikipedia.org/wiki/Alost (Limbourg),,,,,,,,,,,71001,,,,,
,,,,,Sint-Truiden (Aalst),https://fr.wikipedia.org/wiki/Alost (Limbourg),,,,,,,,,,,71001,,,,,
,,,,,Oalst,https://fr.wikipedia.org/wiki/Alost (Limbourg),,,,,,,,,,,71001,,,,,
,,,,,알스트,https://fr.wikipedia.org/wiki/Alost (Limbourg),,,,,,,,,,,71001,,,,,
AALTER,Aalter,Q300970,Aalter,Aalter,Alter,https://fr.wikipedia.org/wiki/Aalter,Histoire,1478,https://nl.wikipedia.org/wiki/Aalter,https://nl.wikipedia.org/wiki/Aalter,Geschiedenis,7878,fr,"Aalter (en vieux français Aeltre) est une commune néerlandophone de Belgique située en Région flamande dans la province de Flandre-Orientale dans l'arrondissement administratif de Gand. Au 1er janvier 2007 la population de la commune était de 18 887 habitants répartis sur une surface totale de 81 92 km2 ce qui donne une densité de population de 231 habitant par km².
Le bourgmestre d'Aalter est Pieter De Crem.",Commune,9880,44001,44001,Flandre,Flandre-Orientale,Aalter,20296
,,,,,Aalter,https://fr.wikipedia.org/wiki/Aalter,,,,,,,,,,,44001,,,,,
,,,,,Aeltre,https://fr.wikipedia.org/wiki/Aalter,,,,,,,,,,,44001,,,,,
,,,,,alth,https://fr.wikipedia.org/wiki/Aalter,,,,,,,,,,,44001,,,,,
,,,,,آلٹیر,https://fr.wikipedia.org/wiki/Aalter,,,,,,,,,,,44001,,,,,
,,,,,Gemeente_Aalter,https://fr.wikipedia.org/wiki/Aalter,,,,,,,,,,,44001,,,,,
,,,,,AALTER,https://fr.wikipedia.org/wiki/Aalter,,,,,,,,,,,44001,,,,,
,,,,,Άαλτερ,https://fr.wikipedia.org/wiki/Aalter,,,,,,,,,,,44001,,,,,
,,,,,阿尔特,https://fr.wikipedia.org/wiki/Aalter,,,,,,,,,,,44001,,,,,
,,,,,a er te,https://fr.wikipedia.org/wiki/Aalter,,,,,,,,,,,44001,,,,,
,,,,,Алтер,https://fr.wikipedia.org/wiki/Aalter,,,,,,,,,,,44001,,,,,
,,,,,الته,https://fr.wikipedia.org/wiki/Aalter,,,,,,,,,,,44001,,,,,
AARSCHOT,Aarschot,Q273442,Aarschot,Aarschot,Arskhot,https://fr.wikipedia.org/wiki/Aarschot,Histoire,1734,https://nl.wikipedia.org/wiki/Aarschot,https://nl.wikipedia.org/wiki/Aarschot,Geschiedenis,9807,fr,"Aarschot (anciennement écrit Aerschot, parfois encore utilisé en français) est une ville néerlandophone de Belgique située en Région flamande dans la province du Brabant flamand.",Ville,3200,24001,24001,Flandre,Brabant flamand,Aarschot,29654
,,,,,aleuseuhos,https://fr.wikipedia.org/wiki/Aarschot,,,,,,,,,,,24001,,,,,
,,,,,Aerschot,https://fr.wikipedia.org/wiki/Aarschot,,,,,,,,,,,24001,,,,,
,,,,,ارسشت,https://fr.wikipedia.org/wiki/Aarschot,,,,,,,,,,,24001,,,,,
,,,,,a er si huo te,https://fr.wikipedia.org/wiki/Aarschot,,,,,,,,,,,24001,,,,,
,,,,,arusukoto,https://fr.wikipedia.org/wiki/Aarschot,,,,,,,,,,,24001,,,,,
,,,,,Арсхот,https://fr.wikipedia.org/wiki/Aarschot,,,,,,,,,,,24001,,,,,
,,,,,아르스홋,https://fr.wikipedia.org/wiki/Aarschot,,,,,,,,,,,24001,,,,,
,,,,,Άαρσχοτ,https://fr.wikipedia.org/wiki/Aarschot,,,,,,,,,,,24001,,,,,
,,,,,Arschotas,https://fr.wikipedia.org/wiki/Aarschot,,,,,,,,,,,24001,,,,,
,,,,,阿尔斯霍特,https://fr.wikipedia.org/wiki/Aarschot,,,,,,,,,,,24001,,,,,
,,,,,آرسچوٹ,https://fr.wikipedia.org/wiki/Aarschot,,,,,,,,,,,24001,,,,,
,,,,,AARSCHOT,https://fr.wikipedia.org/wiki/Aarschot,,,,,,,,,,,24001,,,,,
,,,,,Aarschoti vald,https://fr.wikipedia.org/wiki/Aarschot,,,,,,,,,,,24001,,,,,
,,,,,Aarshot,https://fr.wikipedia.org/wiki/Aarschot,,,,,,,,,,,24001,,,,,
,,,,,アールスコート,https://fr.wikipedia.org/wiki/Aarschot,,,,,,,,,,,24001,,,,,
,,,,,Ааршот,https://fr.wikipedia.org/wiki/Aarschot,,,,,,,,,,,24001,,,,,
,,,,,Aarschot,https://fr.wikipedia.org/wiki/Aarschot,,,,,,,,,,,24001,,,,,
,,,,,arssht,https://fr.wikipedia.org/wiki/Aarschot,,,,,,,,,,,24001,,,,,
Aarsele,Aarsele,Q2750562,Aarsele,Aarsele,Aerseele,https://fr.wikipedia.org/wiki/Aarsele,,434,https://nl.wikipedia.org/wiki/Aarsele,https://nl.wikipedia.org/wiki/Aarsele,Geschiedenis,1440,fr,"Aarsele est une section de la ville belge de Tielt située en Région flamande dans la province de Flandre-Occidentale.
C'était une commune à part entière avant la fusion des communes.",Localité,8700,37001,37015,Flandre,Flandre-Occidentale,Tielt,20301
,,,,,Aarsele,https://fr.wikipedia.org/wiki/Aarsele,,,,,,,,,,,37001,,,,,
Aartrijke,Aartrijke,Q2751461,Aartrijke,Aartrijke,Aartrijke,https://fr.wikipedia.org/wiki/Aartrijke,,441,https://nl.wikipedia.org/wiki/Aartrijke,https://nl.wikipedia.org/wiki/Aartrijke,Geschiedenis,1285,fr,"Aartrijke est une section de la commune belge de Zedelgem située en Région flamande dans la province de Flandre-Occidentale.
C'était une commune à part entière avant la fusion des communes.
 Portail de la Flandre-Occidentale",Localité,8211,31001,31040,Flandre,Flandre-Occidentale,Zedelgem,22554
,,,,,Aertrycke,https://fr.wikipedia.org/wiki/Aartrijke,,,,,,,,,,,31001,,,,,
AARTSELAAR,Aartselaar,Q303246,Aartselaar,Aartselaar,artswlr,https://fr.wikipedia.org/wiki/Aartselaar,,1207,https://nl.wikipedia.org/wiki/Aartselaar,https://nl.wikipedia.org/wiki/Aartselaar,Geschiedenis,5719,fr,"Aartselaar (ancienne écriture : Aertselaer) est une commune néerlandophone de Belgique située en Région flamande, dans la province d'Anvers et l'arrondissement d'Anvers.
Au 1er mai 2017, Aartselaar avait une population totale de 14 275 habitants (7 096 hommes et 7 179 femmes). Sa surface totale est de 10,93 km², ce qui donne une densité de 1 306,04 habitants par km². La commune d'Aartselaar est située dans la banlieue sud d'Anvers. Elle est connue pour son moulin à vent (Heimolen), construit en 1801 ainsi que pour sa course à vélo Mémorial Rik Van Steenbergen.",Commune,2630,11001,11001,Flandre,Anvers,Aartselaar,14222
,,,,,Aartselaar,https://fr.wikipedia.org/wiki/Aartselaar,,,,,,,,,,,11001,,,,,
,,,,,Artselar,https://fr.wikipedia.org/wiki/Aartselaar,,,,,,,,,,,11001,,,,,
,,,,,a er te si la er,https://fr.wikipedia.org/wiki/Aartselaar,,,,,,,,,,,11001,,,,,
,,,,,Артселар,https://fr.wikipedia.org/wiki/Aartselaar,,,,,,,,,,,11001,,,,,
,,,,,Aertselaer,https://fr.wikipedia.org/wiki/Aartselaar,,,,,,,,,,,11001,,,,,
,,,,,آرٹسیلار,https://fr.wikipedia.org/wiki/Aartselaar,,,,,,,,,,,11001,,,,,
,,,,,阿尔特斯拉尔,https://fr.wikipedia.org/wiki/Aartselaar,,,,,,,,,,,11001,,,,,
,,,,,AARTSELAAR,https://fr.wikipedia.org/wiki/Aartselaar,,,,,,,,,,,11001,,,,,
,,,,,ارتسولر,https://fr.wikipedia.org/wiki/Aartselaar,,,,,,,,,,,11001,,,,,
,,,,,Άαρτσελααρ,https://fr.wikipedia.org/wiki/Aartselaar,,,,,,,,,,,11001,,,,,
Abée,Abée,Q646341,Abée,Abee,Abee,https://fr.wikipedia.org/wiki/Abée (Belgique),,629,https://nl.wikipedia.org/wiki/Ab%C3%A9e,https://fr.wikipedia.org/wiki/Abée (Belgique),,462,fr,"Abée (en wallon Åbeye) est une section de la commune belge de Tinlot située en Région wallonne dans la province de Liège.
C'était une commune à part entière avant la fusion des communes de 1977.",Localité,4557,61001,61081,Wallonie,Liège,Tinlot,2675
,,,,,Abée,https://fr.wikipedia.org/wiki/Abée (Belgique),,,,,,,,,,,61001,,,,,
Abolens,Abolens,Q2443507,Abolens,Abolens,Abolens,https://fr.wikipedia.org/wiki/Abolens,,186,https://nl.wikipedia.org/wiki/Abolens,https://fr.wikipedia.org/wiki/Abolens,Geschiedenis,1074,fr,"Abolens [abɔlɛ̃] (en wallon li Bôlin) est une section de la ville belge d'Hannut, située en Région wallonne dans la province de Liège.",Localité,4280,64001,64034,Wallonie,Liège,Hannut,16254
,,,,,Hannut (Abolens),https://fr.wikipedia.org/wiki/Abolens,,,,,,,,,,,64001,,,,,
Achel,Achel,Q1846068,Achel,Achel,Hamont-Achel (Achel),https://fr.wikipedia.org/wiki/Achel,,535,https://nl.wikipedia.org/wiki/Achel_(plaats),https://nl.wikipedia.org/wiki/Achel_(plaats),Geschiedenis,8061,fr,"Achel est un village à la frontière belgo-néérlandaise, qui fait aujourd'hui partie de la ville de Hamont-Achel dans la province de Limbourg (Région flamande de Belgique).

Il est surtout connu pour son abbaye cistercienne, dont la brasserie produit la bière trappiste appelée Achel.

",Localité,3930,72001,72037,Flandre,Limbourg,Hamont-Achel,14427
,,,,,Achel,https://fr.wikipedia.org/wiki/Achel,,,,,,,,,,,72001,,,,,
Achêne,Achêne,Q2801141,Achêne,Achene,Achene,https://fr.wikipedia.org/wiki/Achêne,Histoire,709,https://nl.wikipedia.org/wiki/Ach%C3%AAne,https://fr.wikipedia.org/wiki/Achêne,,1290,fr,"Achêne (en wallon Achinne) est une section de la ville belge de Ciney située en Région wallonne dans la province de Namur.
C'était une commune à part entière avant la fusion des communes de 1977.

",Localité,5590,91001,91030,Wallonie,Namur,Ciney,16360
,,,,,Achêne,https://fr.wikipedia.org/wiki/Achêne,,,,,,,,,,,91001,,,,,
,,,,,Ciney (Achêne),https://fr.wikipedia.org/wiki/Achêne,,,,,,,,,,,91001,,,,,
,,,,,Ciney (Achene),https://fr.wikipedia.org/wiki/Achêne,,,,,,,,,,,91001,,,,,
Achet,Achet,Q2413921,Achet,Achet,Hamois (Achet),https://fr.wikipedia.org/wiki/Achet,Histoire,2669,https://nl.wikipedia.org/wiki/Achet_(Hamois),https://fr.wikipedia.org/wiki/Achet,Geschiedenis,1421,fr,"Achet (en wallon Achet) est une section de la commune belge de Hamois située en Région wallonne dans la province de Namur.
C'était une commune à part entière avant la fusion des communes de 1977.

",Localité,5362,91002,91059,Wallonie,Namur,Hamois,7286
,,,,,Achet,https://fr.wikipedia.org/wiki/Achet,,,,,,,,,,,91002,,,,,
Acosse,Acosse,Q1848683,Acosse,Acosse,Wasseiges (Acosse),https://fr.wikipedia.org/wiki/Acosse,,402,https://nl.wikipedia.org/wiki/Acosse,https://fr.wikipedia.org/wiki/Acosse,Geschiedenis,755,fr,"Acosse (en wallon Åcosse) est une section de la commune belge de Wasseiges, située en Région wallonne dans la province de Liège.
C'était une commune à part entière avant la fusion des communes de 1977.",Localité,4219,64002,64075,Wallonie,Liège,Wasseiges,2893
,,,,,Acosse,https://fr.wikipedia.org/wiki/Acosse,,,,,,,,,,,64002,,,,,
Acoz,Acoz,Q2725336,Acoz,Acoz,Gerpinnes (Acoz),https://fr.wikipedia.org/wiki/Acoz,,4381,https://nl.wikipedia.org/wiki/Acoz,https://fr.wikipedia.org/wiki/Acoz,Geschiedenis,1749,fr,"Acoz [ako] (en wallon Åcoz) est une section de la commune belge de Gerpinnes, située en Région wallonne dans la province de Hainaut.
C'était une commune à part entière avant la fusion des communes de 1977.
C'est aussi le nom d'un cours d'eau qui la traverse et se jette dans la Sambre à Châtelet. Sur le territoire de l'ancienne commune se trouve le hameau de Lausprelle.",Localité,6280,52001,52025,Wallonie,Hainaut,Gerpinnes,12660
,,,,,Acoz,https://fr.wikipedia.org/wiki/Acoz,,,,,,,,,,,52001,,,,,
Adegem,Adegem,Q2407995,Adegem,Adegem,Adegem,https://fr.wikipedia.org/wiki/Adegem,,774,https://nl.wikipedia.org/wiki/Adegem,https://nl.wikipedia.org/wiki/Adegem,Geschiedenis,1414,fr,"Adegem est une section de la commune de Maldegem, située en Belgique en Région flamande dans la province de Flandre-Orientale. Le village, situé dans le Meetjesland, était une commune indépendante jusqu'à la fin de 1976.
Le nom du village est cité pour la première fois en 840 : il est un des plus vieux villages de la province de Flandre-Orientale.",Localité,9991,43001,43010,Flandre,Flandre-Orientale,Maldegem,23550
Adinkerke,Adinkerke,Q301745,Adinkerke,Adinkerke,Adinkerke,https://fr.wikipedia.org/wiki/Adinkerque,Histoire,10244,https://nl.wikipedia.org/wiki/Adinkerke,https://nl.wikipedia.org/wiki/Adinkerke,Geschiedenis,2373,fr,"Adinkerque (en néerlandais : Adinkerke , en flamand occidental : adiengkerke ou oyenkerke) est une section de la commune belge de La Panne située en Région flamande dans la province de Flandre-Occidentale, elle se situe dans la banlieue de la ville côtière de La Panne à laquelle elle est rattachée. Elle se trouve dans le Westhoek, le long de la frontière française, à trois kilomètres de la côte, sur le canal Nieuport-Dunkerque.",Localité,8660,38001,38008,Flandre,Flandre-Occidentale,De Panne,10915
AFFLIGEM,Affligem,Q382860,Affligem,Affligem,a fu li he mu,https://fr.wikipedia.org/wiki/Affligem,,1389,https://nl.wikipedia.org/wiki/Affligem,https://nl.wikipedia.org/wiki/Affligem,Deelgemeenten en geschiedenis,3513,fr,"Affligem (anciennement écrit Afflighem) est une commune néerlandophone de Belgique située en Région flamande dans la province du Brabant flamand. Les communes limitrophes sont : Alost (au nord et à l'ouest), Denderleeuw (au sud-ouest), Liedekerke (au sud), Ternat (au sud-est) et Asse (à l'est).
En Belgique, c'est presque tous les jours qu'on entend le nom d'Affligem à la radio : c'est un goulet d'étranglement sur l’autoroute E40 Ostende-Bruxelles et il s'y forme des bouchons. Affligem dispose de sa propre sortie : la 19a, et d'un parc relais pour le covoiturage.
Comme il ne s'agit pas d'une « commune à facilités », les autorités ont pris la décision de recouvrir avec des feuilles blanches les affiches électorales en français à l'occasion des élections régionales et européennes du 7 juin 2009.",Commune,1790,23105,23105,Flandre,Brabant flamand,Affligem,13129
,,,,,Аффлигем,https://fr.wikipedia.org/wiki/Affligem,,,,,,,,,,,23105,,,,,
,,,,,阿夫利赫姆,https://fr.wikipedia.org/wiki/Affligem,,,,,,,,,,,23105,,,,,
,,,,,AFFLIGEM,https://fr.wikipedia.org/wiki/Affligem,,,,,,,,,,,23105,,,,,
,,,,,Affligem,https://fr.wikipedia.org/wiki/Affligem,,,,,,,,,,,23105,,,,,
,,,,,aflyzhm,https://fr.wikipedia.org/wiki/Affligem,,,,,,,,,,,23105,,,,,
,,,,,افلیژم,https://fr.wikipedia.org/wiki/Affligem,,,,,,,,,,,23105,,,,,
,,,,,Afligem,https://fr.wikipedia.org/wiki/Affligem,,,,,,,,,,,23105,,,,,
,,,,,Афлигем,https://fr.wikipedia.org/wiki/Affligem,,,,,,,,,,,23105,,,,,
Afsnee,Afsnee,Q607749,Afsnee,Afsnee,Afsne,https://fr.wikipedia.org/wiki/Afsnee,,383,https://nl.wikipedia.org/wiki/Afsnee,https://nl.wikipedia.org/wiki/Afsnee,,1582,fr,"Afsnee est une section de la ville belge de Gand, au bord de la Lys, située en Région flamande dans la province de Flandre-Orientale.

 Portail de la Flandre-Orientale",Localité,9051,44002,44021,Flandre,Flandre-Orientale,Gent,259083
,,,,,Afsné,https://fr.wikipedia.org/wiki/Afsnee,,,,,,,,,,,44002,,,,,
,,,,,Afsnee,https://fr.wikipedia.org/wiki/Afsnee,,,,,,,,,,,44002,,,,,
Agimont,Agimont,Q2421037,Agimont,Agimont,Agimont,https://fr.wikipedia.org/wiki/Agimont,Histoire,890,https://nl.wikipedia.org/wiki/Agimont,https://fr.wikipedia.org/wiki/Agimont,Geschiedenis,2715,fr,"Agimont (en wallon Nådjumont) est une section de la commune belge d'Hastière située en Région wallonne dans la province de Namur.
C'était une commune à part entière avant la fusion des communes de 1977.",Localité,5544,93001,91142,Wallonie,Namur,Hastière,6002
,,,,,Hastiere (Agimont),https://fr.wikipedia.org/wiki/Agimont,,,,,,,,,,,93001,,,,,
,,,,,Hastière (Agimont),https://fr.wikipedia.org/wiki/Agimont,,,,,,,,,,,93001,,,,,
Aineffe,Aineffe,Q2458764,Aineffe,Aineffe,Aineffe,https://fr.wikipedia.org/wiki/Aineffe,Histoire,2791,https://nl.wikipedia.org/wiki/Aineffe,https://fr.wikipedia.org/wiki/Aineffe,Geschiedenis,1328,fr,"Aineffe (en wallon Ainefe)[réf. nécessaire] est une section de la commune belge de Faimes, située en Région wallonne dans la province de Liège. Sa superficie est de 321 ha.
C'était une commune à part entière avant la fusion des communes de 1977.",Localité,4317,61002,64076,Wallonie,Liège,Faimes,3941
Aische-en-Refail,Aische-en-Refail,Q1825054,Aische-en-Refail,Aische-en-Refail,Aische-en-Refail,https://fr.wikipedia.org/wiki/Aische-en-Refail,Histoire,804,https://nl.wikipedia.org/wiki/Aische-en-Refail,https://fr.wikipedia.org/wiki/Aische-en-Refail,,1467,fr,"Aische-en-Refail [ɛʃɑ̃ʀəfaj] (en wallon Yache) est une section de la commune belge d'Éghezée située en Région wallonne dans la province de Namur.
C'était une commune à part entière avant la fusion des communes de 1977.",Localité,5310,92001,92035,Wallonie,Namur,Eghezée,16076
,,,,,Aische,https://fr.wikipedia.org/wiki/Aische-en-Refail,,,,,,,,,,,92001,,,,,
Aiseau,Aiseau,Q722798,Aiseau,Aiseau,Aiseau-Presles (Aiseau),https://fr.wikipedia.org/wiki/Aiseau,Préhistoire et histoire,8181,https://nl.wikipedia.org/wiki/Aiseau,https://fr.wikipedia.org/wiki/Aiseau,Geschiedenis,2594,fr,"Aiseau (en wallon Åjhô) est un village belge de la commune d’Aiseau-Presles situé en Région wallonne dans la province de Hainaut, sur la Biesme, non loin de l’embouchure de celle-ci dans la Sambre. C'était une commune à part entière avant la fusion des communes de 1977.",Localité,6250,52002,52074,Wallonie,Hainaut,Aiseau-Presles,10864
,,,,,Aiseau,https://fr.wikipedia.org/wiki/Aiseau,,,,,,,,,,,52002,,,,,
AISEAU-PRESLES,Aiseau-Presles,Q95004,Aiseau-Presles,Aiseau-Presles,Aiseau-Presles,https://fr.wikipedia.org/wiki/Aiseau-Presles,Histoire,1196,https://nl.wikipedia.org/wiki/Aiseau-Presles,https://fr.wikipedia.org/wiki/Aiseau-Presles,,1661,fr,Aiseau-Presles [ezopʁɛl] (en wallon Åjhô-Préle) est une commune francophone de Belgique située en Région wallonne dans la province de Hainaut.,Commune,6250,52074,52074,Wallonie,Hainaut,Aiseau-Presles,10864
,,,,,AISEAU-PRESLES,https://fr.wikipedia.org/wiki/Aiseau-Presles,,,,,,,,,,,52074,,,,,
Aisemont,Aisemont,Q2828768,Aisemont,Aisemont,Aisémont,https://fr.wikipedia.org/wiki/Aisemont,,458,https://nl.wikipedia.org/wiki/Aisemont,https://fr.wikipedia.org/wiki/Aisemont,,1057,fr,"Aisemont (en wallon Ezemonts) est une section de la ville belge de Fosses-la-Ville située en Région wallonne dans la province de Namur.
C'était une commune à part entière avant la fusion des communes de 1977.",Localité,5070,92002,92048,Wallonie,Namur,Fosses-la-Ville,10436
,,,,,Aisemont,https://fr.wikipedia.org/wiki/Aisemont,,,,,,,,,,,92002,,,,,
,,,,,Fosses-la-Ville (Aisemont),https://fr.wikipedia.org/wiki/Aisemont,,,,,,,,,,,92002,,,,,
ALKEN,Alken,Q499604,Alken,Alken,Alleke,https://fr.wikipedia.org/wiki/Alken (Belgique),Histoire,1533,https://nl.wikipedia.org/wiki/Alken_(Belgi%C3%AB),https://nl.wikipedia.org/wiki/Alken_(Belgi%C3%AB),Geschiedenis,9043,fr,"Alken est une commune néerlandophone de Belgique située en Région flamande dans la province de Limbourg, non loin de Hasselt.",Commune,3570,73001,73001,Flandre,Limbourg,Alken,11495
,,,,,Alkén,https://fr.wikipedia.org/wiki/Alken (Belgique),,,,,,,,,,,73001,,,,,
,,,,,alkan,https://fr.wikipedia.org/wiki/Alken (Belgique),,,,,,,,,,,73001,,,,,
,,,,,xal kein,https://fr.wikipedia.org/wiki/Alken (Belgique),,,,,,,,,,,73001,,,,,
,,,,,阿尔肯,https://fr.wikipedia.org/wiki/Alken (Belgique),,,,,,,,,,,73001,,,,,
,,,,,อัลเกิน,https://fr.wikipedia.org/wiki/Alken (Belgique),,,,,,,,,,,73001,,,,,
,,,,,a er ken,https://fr.wikipedia.org/wiki/Alken (Belgique),,,,,,,,,,,73001,,,,,
,,,,,Алкен,https://fr.wikipedia.org/wiki/Alken (Belgique),,,,,,,,,,,73001,,,,,
,,,,,الکان,https://fr.wikipedia.org/wiki/Alken (Belgique),,,,,,,,,,,73001,,,,,
,,,,,ALKEN,https://fr.wikipedia.org/wiki/Alken (Belgique),,,,,,,,,,,73001,,,,,
